     Lat(Pc)      Lat(Pg)       U(m/s)      Sigma_U     Sigma_Lt   Npt
      -30.01       -33.45        -2.77         6.37         0.14    49
      -29.51       -32.92       -17.45         9.22         0.14    51
      -29.03       -32.40       -21.79         6.33         0.14    33
      -28.47       -31.80       -24.23         9.37         0.14    49
      -27.99       -31.29       -18.36         9.29         0.13    70
      -27.50       -30.76       -10.39         7.26         0.15    61
      -26.98       -30.21        -2.99         4.59         0.15    71
      -26.51       -29.70         7.63         6.68         0.14    63
      -26.00       -29.15        25.76         8.55         0.14    69
      -25.52       -28.63        32.72         6.09         0.14    69
      -25.03       -28.10        37.71         8.08         0.14    60
      -24.51       -27.54        28.38         4.83         0.15    33
      -24.02       -27.01        24.90         3.39         0.15    69
      -23.51       -26.45        24.63         5.84         0.14    96
      -23.00       -25.89        27.75         5.19         0.14    83
      -22.52       -25.36        32.01         7.89         0.13    69
      -22.00       -24.80        26.50         5.37         0.15    89
      -21.50       -24.25        19.79         5.94         0.15    80
      -21.00       -23.70         5.10         5.50         0.14    66
      -20.49       -23.14        -4.36         4.53         0.14    75
      -19.99       -22.59       -10.26         5.22         0.14    55
      -19.47       -22.01       -21.18         6.91         0.14    57
      -18.99       -21.48       -32.91         9.42         0.14    56
      -18.48       -20.91       -46.09         8.36         0.15    62
      -17.99       -20.37       -58.79         6.77         0.14    55
      -17.49       -19.82       -61.26         4.65         0.14    62
      -16.99       -19.26       -61.65         6.43         0.15    60
      -16.50       -18.72       -59.45         6.92         0.14    59
      -15.98       -18.13       -54.92        11.04         0.14    55
      -15.49       -17.59       -41.49        10.68         0.13    62
      -14.99       -17.03       -32.59        12.95         0.13    62
      -14.52       -16.50       -22.13        11.54         0.13    37
      -13.96       -15.87         0.97         7.26         0.14    58
      -13.48       -15.33         5.49         4.02         0.14    83
      -12.97       -14.76        14.22         5.53         0.14    79
      -12.49       -14.22        21.41         5.24         0.15    67
      -11.98       -13.64        27.36         6.00         0.14    62
      -11.48       -13.07        34.03         6.38         0.14    81
      -11.00       -12.53        35.07         6.57         0.14   100
      -10.49       -11.95        33.28         6.37         0.15   104
       -9.99       -11.38        35.75         8.44         0.15    75
       -9.49       -10.83        38.88         6.92         0.14   117
       -9.01       -10.28        44.65        11.96         0.13    87
       -8.47        -9.67        63.98        22.55         0.14   105
       -8.00        -9.13        69.70        17.28         0.15    94
       -7.50        -8.56        85.48        16.94         0.14    80
       -7.02        -8.02       108.71        21.22         0.14    70
       -6.47        -7.38       141.64         6.62         0.14    90
       -6.00        -6.85       136.70        11.83         0.14    86
       -5.50        -6.29       127.09         9.66         0.14    88
       -5.01        -5.73       107.58        21.08         0.15    70
       -4.49        -5.13        93.11        18.53         0.16    55
       -3.98        -4.54        81.43        14.50         0.13    65
       -3.50        -4.00        75.66        13.11         0.14    65
       -3.00        -3.43        77.08        12.18         0.14    48
       -2.50        -2.85        77.08        22.04         0.14    58
       -2.01        -2.30        79.66        19.49         0.14    62
       -1.52        -1.73        70.56        11.37         0.14    13
       -0.98        -1.12        77.32         7.94         0.13    18
       -0.48        -0.55        82.22        12.84         0.13    48
        0.03         0.03        78.33        20.65         0.13    46
        0.51         0.58        79.86        20.20         0.15    75
        1.00         1.15        85.58        22.69         0.15    62
        1.50         1.71        76.72        16.55         0.14    91
        1.99         2.27        66.50        20.84         0.15    81
        2.47         2.83        62.66        19.46         0.14    68
        3.00         3.43        80.46        14.75         0.14    83
        3.51         4.01        92.96        13.08         0.14    58
        4.00         4.57        93.72        11.99         0.14    99
        4.49         5.14        95.73        21.96         0.14    83
        5.00         5.72        69.23        26.64         0.14   107
        5.50         6.28        71.98        26.60         0.14    96
        5.99         6.84        84.48        18.73         0.15    57
        6.51         7.43        78.97        17.76         0.14    90
        6.99         7.99        74.40        12.25         0.14    75
        7.51         8.57        76.76         8.65         0.14    98
        7.99         9.12        76.79         9.31         0.14    88
        8.50         9.70        70.83         7.08         0.15    97
        9.00        10.27        64.86         7.80         0.13    96
        9.48        10.81        58.14        10.93         0.14    77
       10.01        11.41        48.74        10.66         0.14    62
       10.47        11.94        46.19        14.41         0.14    60
       10.99        12.52        31.60        12.38         0.14    42
       11.50        13.09        23.96         8.33         0.15    55
       12.01        13.67        17.61        12.29         0.14    52
       12.50        14.22         7.90        11.65         0.15    56
       13.01        14.80         2.06        13.68         0.14    53
       13.51        15.36        -7.92         9.03         0.14    67
       13.99        15.90        -9.50         6.05         0.14    63
       14.48        16.45       -12.22         6.53         0.15    51
       14.99        17.02       -12.30         6.65         0.14    51
       15.49        17.59        -7.99         4.22         0.14    62
       16.01        18.16        -8.75         7.73         0.14    73
       16.51        18.73        -8.72         6.07         0.15    81
       17.00        19.27        -0.80        11.21         0.15   108
       17.49        19.82        14.04        15.09         0.13   102
       17.98        20.36        34.97        15.25         0.15   104
       18.48        20.92        46.47        19.12         0.14    90
       19.01        21.50        73.47        29.24         0.14    76
       19.49        22.04        97.98        19.49         0.14    82
       20.00        22.60       126.20        12.35         0.15    85
       20.48        23.13       141.01         6.30         0.15    78
       20.98        23.68       146.92         5.36         0.13    69
       21.48        24.22       129.10        13.11         0.14    60
       21.99        24.78        97.73        12.33         0.15    62
       22.49        25.34        73.87         7.77         0.15    67
       22.98        25.87        55.70         8.72         0.15    61
       23.49        26.43        41.15         8.52         0.15    63
       24.01        26.99        27.44         7.08         0.14    62
       24.49        27.52        23.87         4.14         0.15    69
       25.00        28.06        22.59         4.43         0.14    63
       25.49        28.60        15.34         8.92         0.13    51
       26.00        29.15         6.40         6.82         0.15    42
       26.50        29.69        -7.78         8.22         0.14    46
       26.99        30.21       -20.03         7.38         0.14    44
       27.49        30.75       -26.70         7.22         0.14    45
       28.00        31.30       -30.34         7.27         0.14    53
       28.48        31.82       -28.75         8.48         0.15    61
       29.00        32.37       -16.06        10.63         0.14    51
       29.49        32.90        -6.13         7.90         0.14    51
       29.99        33.42        12.42        11.42         0.14    27
