     Lat(Pc)      Lat(Pg)       U(m/s)      Sigma_U     Sigma_Lt   Npt
      -29.95       -33.38        -4.79         9.09         0.13    42
      -29.49       -32.89       -11.18         8.39         0.14    52
      -28.97       -32.34       -11.92         9.76         0.14    48
      -28.53       -31.87        -9.84         9.93         0.13    52
      -27.98       -31.28        -8.62         9.77         0.13    48
      -27.48       -30.74        -0.50         9.19         0.15    57
      -26.99       -30.21         7.48         9.85         0.14    58
      -26.51       -29.70        13.03        10.56         0.14    63
      -25.99       -29.14        22.11         9.23         0.14    51
      -25.50       -28.61        28.57         7.96         0.14    58
      -24.99       -28.06        33.41         5.71         0.14    91
      -24.50       -27.53        33.03         5.42         0.15    80
      -24.00       -26.98        34.12         7.40         0.15    80
      -23.50       -26.44        38.16         8.83         0.14    77
      -23.02       -25.91        38.43         8.51         0.14    71
      -22.49       -25.34        34.55         7.91         0.15    75
      -21.98       -24.78        25.66         6.95         0.14    72
      -21.50       -24.25        16.31         6.45         0.14    71
      -20.98       -23.68        11.29         4.23         0.15    72
      -20.48       -23.13         1.97         8.50         0.14    75
      -20.01       -22.61        -6.93         7.84         0.14    65
      -19.50       -22.05       -10.71         4.54         0.15    46
      -18.97       -21.46       -23.55        10.00         0.13    73
      -18.49       -20.93       -38.05         9.67         0.15    74
      -17.99       -20.38       -45.95         7.50         0.15    85
      -17.51       -19.84       -52.75         9.91         0.13    80
      -16.97       -19.24       -50.45         8.99         0.15    46
      -16.50       -18.71       -40.09         7.56         0.14    80
      -15.99       -18.15       -40.22         6.49         0.14    90
      -15.50       -17.60       -30.80         7.63         0.15    76
      -14.98       -17.01       -19.59        10.68         0.14    74
      -14.46       -16.43        -6.06        11.31         0.15    93
      -14.02       -15.94         0.80        12.71         0.14    88
      -13.49       -15.34        11.21         8.94         0.15    87
      -13.00       -14.79        21.01        11.92         0.15    91
      -12.48       -14.20        27.22        10.44         0.14    87
      -12.01       -13.67        31.08        10.97         0.14    93
      -11.50       -13.09        36.76         9.96         0.15    87
      -11.01       -12.54        36.40         8.17         0.14    81
      -10.49       -11.96        38.89         9.29         0.15    82
       -9.97       -11.36        41.35         6.99         0.15   103
       -9.49       -10.82        42.73         7.46         0.14    97
       -8.99       -10.25        46.64         8.27         0.14    90
       -8.48        -9.67        62.25        11.07         0.15   105
       -7.97        -9.10        80.27         8.67         0.14   134
       -7.48        -8.53        93.46         8.78         0.15   137
       -6.99        -7.98       110.49        20.02         0.14   128
       -6.48        -7.40       134.20        14.60         0.14   124
       -6.00        -6.86       138.79        10.53         0.14   135
       -5.47        -6.25       123.50        18.94         0.14   144
       -5.02        -5.74       103.99        21.01         0.14   133
       -4.45        -5.09        89.88        22.22         0.14   103
       -3.98        -4.55        88.81        12.81         0.14   136
       -3.47        -3.96        92.91        12.16         0.15   134
       -3.00        -3.43        83.78         8.80         0.15   132
       -2.50        -2.86        82.65        10.17         0.13   125
       -2.01        -2.30        90.05        15.73         0.14    84
       -1.52        -1.74       108.81        16.07         0.14    36
       -1.01        -1.15        88.38        14.06         0.12    65
       -0.47        -0.54       107.13        24.18         0.16    39
       -0.01        -0.01       109.66        18.50         0.13    77
        0.52         0.59       105.91        23.24         0.14    46
        0.98         1.12       106.39        16.23         0.13    52
        1.45         1.66        90.30        27.88         0.17    30
        2.01         2.30        81.77        16.46         0.15    48
        2.52         2.88        88.67        12.41         0.14    51
        3.01         3.44        94.97         8.27         0.15    72
        3.48         3.97        89.51        11.00         0.14   136
        4.01         4.58        90.16         9.03         0.14   125
        4.49         5.13        93.10        13.76         0.14   117
        4.98         5.69        91.36        14.81         0.15   133
        5.50         6.28        91.39        12.26         0.13   111
        6.00         6.85        94.89        12.95         0.14   137
        6.49         7.41        99.86        11.31         0.15   139
        6.99         7.98       101.22         8.77         0.14   146
        7.49         8.54        99.13         7.41         0.15   135
        7.99         9.12        96.94         7.11         0.14   134
        8.48         9.68        92.91        10.13         0.15   120
        8.99        10.26        84.76         9.98         0.14   119
        9.50        10.83        75.89         9.76         0.15   122
       10.00        11.40        69.45         7.99         0.14   145
       10.49        11.95        60.12        13.09         0.15   147
       10.99        12.52        45.44        12.77         0.14   159
       11.49        13.09        28.72        14.26         0.14   112
       11.98        13.64        20.73        17.70         0.14    88
       12.50        14.23        12.22        12.76         0.15    92
       13.00        14.79         9.13         8.52         0.14    95
       13.48        15.33         3.24         8.08         0.13   100
       13.98        15.89        -5.85         8.98         0.15    69
       14.51        16.49       -12.70         6.47         0.14    78
       14.99        17.02       -14.50         9.18         0.14   105
       15.49        17.59       -13.62         5.61         0.14    99
       16.00        18.15        -9.32         6.31         0.14    85
       16.50        18.71        -2.73         7.79         0.14    90
       17.01        19.28         6.61         8.37         0.15   105
       17.50        19.82        20.51        10.33         0.14   125
       17.99        20.37        37.86        11.23         0.15   119
       18.49        20.92        64.40        16.34         0.14   116
       18.99        21.48        86.11        15.88         0.15   108
       19.51        22.05       105.68        15.39         0.15   130
       20.00        22.60       131.11        12.06         0.14   129
       20.49        23.14       148.56         7.18         0.15   132
       20.99        23.68       153.90         6.52         0.15   142
       21.50        24.25       142.41        14.71         0.15   127
       21.98        24.78       111.78         9.98         0.15   135
       22.49        25.34        88.34        10.79         0.14   142
       22.99        25.88        70.01         8.80         0.14   119
       23.52        26.46        48.00        10.46         0.14   115
       23.99        26.97        37.22        10.18         0.15   110
       24.50        27.52        29.42         5.22         0.14   127
       24.99        28.06        29.73         6.63         0.15   110
       25.49        28.60        23.49         8.05         0.14   101
       26.00        29.15         9.77         8.68         0.14    98
       26.50        29.68        -5.93         8.77         0.14   108
       27.01        30.24       -14.42         6.89         0.14    94
       27.51        30.77       -19.61         6.15         0.14    83
       27.99        31.29       -20.92         6.98         0.14    90
