     Lat(Pc)      Lat(Pg)       U(m/s)      Sigma_U     Sigma_Lt   Npt
      -29.96       -33.40        -5.65         3.55         0.14    29
      -29.46       -32.86       -10.56         5.00         0.13    40
      -29.00       -32.37       -14.71         2.04         0.14    45
      -28.50       -31.84       -15.61         1.95         0.14    39
      -27.99       -31.29        -8.61         6.70         0.15    37
      -27.49       -30.76         1.40         4.23         0.14    43
      -27.00       -30.23         7.01         5.99         0.15    45
      -26.49       -29.68        15.17         7.39         0.13    38
      -26.01       -29.16        25.67         5.67         0.14    43
      -25.48       -28.59        31.86         3.97         0.15    48
      -24.95       -28.02        37.13         3.13         0.14    56
      -24.49       -27.51        36.93         3.44         0.15    47
      -23.98       -26.97        40.06         3.87         0.14    45
      -23.48       -26.42        37.38         6.56         0.14    42
      -22.98       -25.87        31.75         3.52         0.15    46
      -22.48       -25.32        21.61         7.69         0.14    35
      -21.98       -24.78        13.24         4.56         0.14    41
      -21.49       -24.24         8.83         4.05         0.14    50
      -20.99       -23.69         1.79         3.85         0.15    45
      -20.48       -23.13        -4.41         4.68         0.14    55
      -19.98       -22.57       -11.81         7.34         0.15    57
      -19.50       -22.04       -22.36         7.00         0.14    46
      -18.99       -21.48       -41.96         7.59         0.14    50
      -18.49       -20.93       -49.50         6.41         0.15    66
      -17.99       -20.37       -54.38         5.90         0.15    57
      -17.49       -19.82       -56.41         5.66         0.14    67
      -16.99       -19.26       -56.34         4.85         0.15    63
      -16.49       -18.70       -58.02         9.87         0.14    61
      -15.98       -18.13       -48.03         9.41         0.14    57
      -15.46       -17.55       -37.29        11.75         0.15    46
      -14.99       -17.03       -21.83         8.94         0.14    62
      -14.50       -16.48        -8.64         7.86         0.14    68
      -14.01       -15.93         0.47        12.34         0.15    30
      -13.50       -15.35         9.18        10.89         0.16    31
      -12.97       -14.75        20.65        12.62         0.13    43
      -12.52       -14.25        29.54        11.46         0.14    41
      -11.97       -13.63        30.98         8.49         0.15    61
      -11.50       -13.10        32.66         6.23         0.14    76
      -10.98       -12.51        32.94         5.35         0.16    81
      -10.51       -11.97        35.23         8.21         0.14   107
       -9.99       -11.38        38.71         8.60         0.14   102
       -9.49       -10.83        40.96         8.97         0.15   103
       -9.00       -10.27        42.44        12.09         0.14    79
       -8.47        -9.66        59.57         8.76         0.15   111
       -8.00        -9.13        66.11        12.31         0.14    90
       -7.48        -8.54        87.14        15.04         0.14   106
       -6.97        -7.96       124.18        16.96         0.15   126
       -6.47        -7.39       137.14        10.02         0.14   148
       -6.01        -6.86       139.97         7.57         0.14   123
       -5.49        -6.28       135.97         8.24         0.14    96
       -5.00        -5.71       118.85        11.25         0.15    85
       -4.47        -5.11        91.48         6.92         0.14    78
       -3.98        -4.55        91.44         6.48         0.15    79
       -3.50        -4.00        86.23         7.99         0.14    64
       -2.99        -3.42        82.69         8.31         0.14    45
       -2.50        -2.86        80.15         8.73         0.15    27
       -1.97        -2.25        76.44        10.14         0.14    38
       -1.53        -1.75        77.35         9.80         0.15    37
       -1.00        -1.15        73.16        10.79         0.14    37
       -0.50        -0.57        68.69         9.25         0.15    56
       -0.04        -0.05        72.40         6.54         0.15    20
        0.52         0.59        79.43         2.67         0.13    18
        1.01         1.15        74.58         5.61         0.14    56
        1.45         1.66        71.66         7.16         0.15    69
        1.99         2.27        74.31        10.20         0.15    47
        2.46         2.82        69.46         6.57         0.13    56
        3.03         3.46        77.57        12.67         0.14    44
        3.42         3.91        88.89        14.62         0.13    33
        4.03         4.60        86.02        10.55         0.18    13
        4.47         5.10        86.95        19.23         0.15    47
        5.01         5.72        88.65        14.66         0.16    28
        5.49         6.28        88.87        12.97         0.13   102
        5.99         6.85        93.27         9.43         0.14    95
        6.49         7.41        84.96        10.53         0.14    84
        7.00         8.00        83.81        13.60         0.14    75
        7.47         8.52        89.56        13.97         0.14   100
        8.00         9.13        84.05        10.06         0.14    76
        8.49         9.68        81.39         8.81         0.15    83
        9.00        10.26        75.37         9.02         0.15    94
        9.52        10.85        64.86         8.70         0.14    83
       10.00        11.40        54.49        10.59         0.14    86
       10.48        11.95        47.81         8.77         0.15    79
       10.96        12.48        43.20        11.50         0.14    71
       11.51        13.11        39.38         8.17         0.15    67
       12.00        13.66        20.05         5.86         0.14    81
       12.52        14.24        14.58         7.38         0.14    70
       12.97        14.76         8.38         9.86         0.15    69
       13.48        15.33         1.63         4.15         0.14    54
       14.00        15.92        -5.84         7.53         0.14    51
       14.53        16.51       -12.32         6.53         0.13    63
       14.96        16.99       -19.17         5.89         0.14    83
       15.49        17.58       -23.42         4.73         0.15    85
       16.00        18.16       -19.80         5.25         0.14    75
       16.46        18.67       -10.28         7.69         0.14    64
       16.98        19.25         6.30         9.12         0.15    70
       17.50        19.82        18.01         6.45         0.15    76
       17.98        20.36        31.48         5.56         0.14    76
       18.49        20.93        52.39         8.25         0.14    60
       18.98        21.47        74.33         9.07         0.15    63
       19.47        22.01        96.30         9.11         0.14    65
       19.98        22.58       122.07         8.61         0.14    66
       20.45        23.10       141.44         7.81         0.15    54
       21.01        23.71       154.46         4.36         0.14    82
       21.47        24.21       146.68         9.80         0.14    96
       22.03        24.83       101.64         9.41         0.13   111
       22.49        25.34        83.00         6.86         0.14   100
       22.99        25.88        62.59         6.03         0.15   113
       23.50        26.43        45.15         7.50         0.14    99
       24.00        26.98        29.84         4.05         0.15    96
       24.49        27.52        21.21         5.99         0.14    74
       25.00        28.07        13.91         4.37         0.14    60
       25.49        28.60         7.29         4.15         0.14    51
       26.01        29.17         0.87         3.63         0.14    63
       26.50        29.69        -5.45         8.04         0.15    71
       27.02        30.25       -20.85         8.88         0.14    64
       27.51        30.78       -26.12         4.38         0.14    75
       27.96        31.26       -27.02         6.67         0.14    57
       28.49        31.82       -20.68         6.29         0.15    51
       28.98        32.35       -15.55         7.01         0.14    46
       29.50        32.90        -1.59         7.01         0.13    45
       30.00        33.44         8.80         5.15         0.15    27
