     Lat(Pc)      Lat(Pg)       U(m/s)      Sigma_U     Sigma_Lt   Npt
        4.04         4.62        84.67        18.49         0.14    21
        4.52         5.17        89.85        17.03         0.14    28
        4.96         5.67        80.35        24.99         0.14    41
        5.54         6.32        88.82        22.16         0.13    38
        6.04         6.89        74.54        14.77         0.13    64
        6.45         7.37        69.43        11.81         0.12    52
        6.95         7.94        90.31        19.24         0.13    36
        7.52         8.58        95.25        11.12         0.16    35
        8.00         9.13        84.81        11.01         0.14    36
        8.49         9.69        73.92         5.83         0.14    41
        9.03        10.29        63.51         6.15         0.14    32
        9.49        10.82        57.98         8.02         0.14    48
       10.00        11.40        51.93         7.61         0.14    54
       10.49        11.96        43.67         8.65         0.14    44
       10.96        12.49        39.32         6.42         0.15    35
       11.49        13.09        35.45         4.43         0.14    28
       11.94        13.60        29.96         6.13         0.12    23
       12.49        14.21        24.03         8.77         0.14    23
       13.01        14.80         6.34         6.54         0.13    24
       13.48        15.33         0.15         3.45         0.16    24
       13.99        15.90        -2.46         5.37         0.13    30
       14.51        16.49        -9.93         8.77         0.14    37
       15.01        17.05       -15.86         4.96         0.13    39
       15.50        17.59       -15.64         3.82         0.14    39
       15.97        18.13       -11.87         6.66         0.14    36
       16.47        18.68        -4.32         8.88         0.14    36
       17.03        19.30         6.50         8.80         0.14    33
       17.47        19.80        18.54         9.11         0.15    45
       17.96        20.34        41.99         8.51         0.13    41
       18.48        20.91        59.42         9.13         0.15    33
       18.96        21.45        80.44         9.63         0.14    31
       19.47        22.01       102.60        10.32         0.15    29
       19.99        22.58       119.19        16.17         0.14    30
       20.51        23.17       146.16         7.78         0.15    28
       21.00        23.70       157.12         4.67         0.13    42
       21.45        24.20       145.75         9.81         0.15    40
       21.99        24.79       110.93        10.33         0.14    42
       22.49        25.33        89.83         8.74         0.15    42
       22.96        25.84        68.61         6.63         0.15    37
       23.50        26.44        51.59         5.09         0.14    32
       23.99        26.97        39.88         4.73         0.15    33
       24.49        27.52        29.21         4.69         0.13    32
       24.97        28.04        23.59         3.97         0.14    32
       25.48        28.59        18.36         5.00         0.14    33
       26.00        29.15        10.55         6.37         0.15    37
       26.49        29.68        -1.73        14.37         0.15     9
       27.03        30.26       -19.40         3.80         0.13    24
       27.52        30.79       -24.45         4.76         0.15    30
       28.01        31.31       -22.11         3.62         0.14    36
       28.50        31.83       -20.41         6.44         0.14    28
       28.94        32.30       -15.93        11.54         0.10    20
       29.54        32.95        10.60        10.88         0.13    15
       29.97        33.41        20.61         6.38         0.13    17
