     Lat(Pc)      Lat(Pg)       U(m/s)      Sigma_U     Sigma_Lt   Npt
      -30.00       -33.43       -15.67        12.64         0.14    24
      -29.50       -32.90       -22.27        13.23         0.15    29
      -29.00       -32.37       -31.84        10.66         0.14    30
      -28.50       -31.83       -24.10         8.33         0.15    28
      -27.98       -31.28       -13.04         7.90         0.13    22
      -27.48       -30.74         2.89         5.76         0.14    33
      -27.04       -30.27         1.19         7.94         0.14    30
      -26.49       -29.68        11.58         8.54         0.13    15
      -26.05       -29.20        23.68         8.92         0.15     9
      -25.46       -28.56        28.04         3.48         0.14    11
      -24.98       -28.05        34.06         5.84         0.16     9
      -24.52       -27.55        35.97         3.47         0.13    24
      -24.05       -27.03        36.72         5.00         0.12    22
      -23.52       -26.45        35.07         9.27         0.15    22
      -22.98       -25.87        34.56         7.48         0.14    21
      -22.50       -25.35        34.12         6.14         0.16    24
      -22.01       -24.81        26.37        11.60         0.12    18
      -21.51       -24.26        31.71         4.31         0.13    20
      -21.06       -23.77        12.80        16.82         0.12    10
      -20.47       -23.12        -0.89         7.43         0.13    15
      -19.96       -22.55        -5.36        10.52         0.15    17
      -19.50       -22.04       -14.76        14.10         0.15    23
      -19.03       -21.53       -25.44        14.71         0.14    17
      -18.49       -20.93       -33.49        17.45         0.13    20
      -18.00       -20.39       -34.03        13.52         0.14    28
      -17.51       -19.84       -37.67        12.92         0.13    21
      -17.02       -19.29       -43.91        15.90         0.14    26
      -16.47       -18.68       -45.86        17.48         0.14    20
      -16.01       -18.16       -45.25         9.71         0.13    24
      -15.51       -17.61       -28.36        10.73         0.12    14
      -15.01       -17.05       -35.35         7.34         0.15     9
      -14.52       -16.49       -19.48         9.74         0.14    16
      -13.99       -15.90        -6.07         9.35         0.14    15
      -13.44       -15.28        -0.82         7.07         0.15    13
      -13.03       -14.82         9.71         8.14         0.14    16
      -12.47       -14.19        17.53        10.00         0.15    21
      -12.00       -13.66        15.85        10.28         0.14    17
      -11.60       -13.21        22.70        15.31         0.10     8
      -10.98       -12.51        32.48         6.19         0.10     8
      -10.46       -11.92        31.38         6.26         0.15     9
       -9.99       -11.39        30.69         4.63         0.15    14
       -9.48       -10.81        40.94        12.01         0.16    17
       -8.99       -10.25        51.33        11.69         0.14    20
       -8.47        -9.67        61.19         9.74         0.14    30
       -8.00        -9.13        73.64        19.41         0.14    33
       -7.48        -8.54        95.59        31.74         0.15    24
       -6.98        -7.97        97.69        17.98         0.14    37
       -6.49        -7.41       120.47        16.68         0.15    51
       -6.00        -6.85       116.28        15.01         0.14    55
       -5.50        -6.28       119.27        15.57         0.14    51
       -5.00        -5.71       111.46        15.27         0.15    56
       -4.50        -5.14        91.01        17.18         0.14    54
       -4.02        -4.60        87.18        18.55         0.14    46
       -3.47        -3.97        72.37        10.00         0.14    41
       -2.99        -3.42        75.75         9.22         0.13    41
       -2.51        -2.87        67.30        13.84         0.14    31
       -1.99        -2.27        62.08         8.43         0.15    40
       -1.51        -1.73        65.52         9.64         0.13    18
       -0.90        -1.03        67.91         6.64         0.14    11
       -0.48        -0.55        58.92         7.51         0.11    22
       -0.01        -0.02        57.69        10.58         0.14    26
        0.53         0.60        66.80        11.21         0.13    16
        0.99         1.13        74.18        12.13         0.14    42
        1.46         1.67        80.74        17.11         0.14    27
        2.01         2.30        76.96        17.09         0.13    22
        2.52         2.89        75.53        15.91         0.15    24
        2.99         3.42        74.33        16.39         0.14    36
        3.48         3.98        81.61        18.04         0.13    33
