     Lat(Pc)      Lat(Pg)       U(m/s)      Sigma_U     Sigma_Lt   Npt
        3.01         3.44        90.11        28.17         0.14   116
        3.49         3.99        93.95        29.53         0.15   132
        4.02         4.59        85.58        20.03         0.13    98
        4.50         5.14        90.94        16.39         0.14   121
        4.99         5.70        98.52        19.91         0.14   110
        5.51         6.29        88.99        16.18         0.14    95
        6.02         6.87        91.17        12.43         0.14    87
        6.51         7.43        94.37        10.84         0.13    97
        7.01         8.00        88.35        12.56         0.15   108
        7.50         8.57        92.12        18.80         0.14   106
        8.02         9.15        90.78        14.73         0.14   101
        8.50         9.69        82.12         9.48         0.14   113
        9.00        10.27        73.81        13.94         0.14   133
        9.50        10.83        65.32        15.38         0.14   129
       10.00        11.40        64.67        12.30         0.14   150
       10.51        11.98        54.61        14.81         0.13   124
       11.00        12.53        43.57        12.17         0.14   132
       11.50        13.10        37.69        17.51         0.15   123
       12.01        13.67        23.09        12.17         0.14   118
       12.51        14.24        20.42        13.09         0.14   114
       13.00        14.79        15.18        15.39         0.14    96
       13.51        15.36         9.06        13.78         0.14   111
       14.00        15.91         3.00        11.81         0.14   121
       14.49        16.47        -4.26        13.64         0.14    93
       15.01        17.04       -13.67        10.55         0.15   119
       15.50        17.60       -18.28         8.46         0.14   116
       15.99        18.15       -17.98         7.56         0.14   128
       16.49        18.70       -15.36         9.35         0.14   118
       16.99        19.26        -3.96        14.54         0.14   107
       17.51        19.84        13.56        23.03         0.14    98
       18.00        20.38        30.27        17.10         0.14   111
       18.49        20.93        49.72        18.02         0.15   113
       19.01        21.50        81.75        18.13         0.14   103
       19.51        22.05        99.86        13.22         0.15   136
       19.99        22.59       122.89        16.44         0.13   111
       20.49        23.14       140.74        19.13         0.15   109
       20.97        23.67       147.76        18.24         0.14    86
       21.50        24.25       132.59        16.55         0.15    85
       22.01        24.81       106.11        15.12         0.14    70
       22.51        25.35        82.74        13.01         0.15    81
       23.01        25.90        62.79        11.85         0.14    94
       23.50        26.44        46.06        11.12         0.14    96
       23.99        26.98        35.10         8.24         0.14    84
       24.51        27.53        26.54         9.51         0.15    80
       24.99        28.06        22.13        11.07         0.13    67
       25.48        28.58        20.18        12.03         0.14    73
       25.98        29.13        11.20        19.63         0.14    56
       26.49        29.68        -6.82        17.39         0.14    60
       27.01        30.24       -24.08        12.50         0.14    56
       27.50        30.76       -28.49         7.27         0.14    52
       27.99        31.29       -27.35         6.70         0.15    44
       28.51        31.84       -21.99         5.49         0.15    42
       29.00        32.37       -12.67         5.18         0.14    42
       29.48        32.89        -1.24         5.39         0.14    45
       29.99        33.42        11.53         7.55         0.14    36
