     Lat(Pc)      Lat(Pg)       U(m/s)      Sigma_U     Sigma_Lt   Npt
      -29.99       -33.42        -5.95         4.04         0.15    17
      -29.49       -32.89       -14.00         3.54         0.15    17
      -28.98       -32.35       -17.59         2.28         0.15    19
      -28.50       -31.84       -19.70         3.45         0.13    16
      -28.00       -31.31       -16.72         6.36         0.15    18
      -27.45       -30.71        -3.98         6.07         0.15    18
      -26.96       -30.19         4.87         3.97         0.12    17
      -26.48       -29.66        13.67         4.45         0.14    18
      -25.97       -29.12        20.80         5.89         0.14    25
      -25.49       -28.60        26.29         4.72         0.15    40
      -24.98       -28.05        31.97         5.21         0.13    35
      -24.48       -27.50        31.78         3.93         0.15    46
      -23.96       -26.94        34.60         5.04         0.14    44
      -23.49       -26.43        40.34         4.29         0.14    60
      -22.99       -25.88        39.38         3.22         0.15    61
      -22.49       -25.33        32.21         4.88         0.15    56
      -21.99       -24.78        21.93         5.27         0.14    61
      -21.46       -24.21        11.64         5.44         0.14    60
      -20.99       -23.69         4.59         7.24         0.14    64
      -20.49       -23.14        -2.35         5.52         0.15    77
      -20.01       -22.61        -9.71         6.91         0.13    66
      -19.49       -22.04       -18.75        10.86         0.15    73
      -19.00       -21.49       -28.70        11.49         0.14    63
      -18.49       -20.93       -43.47        12.97         0.14    62
      -18.02       -20.41       -49.98        11.58         0.14    63
      -17.48       -19.81       -50.42         9.40         0.14    69
      -16.99       -19.26       -51.49         7.02         0.13    60
      -16.48       -18.69       -51.32         8.36         0.15    74
      -15.99       -18.15       -43.60        11.27         0.14    75
      -15.48       -17.58       -36.59        10.91         0.14    74
      -14.99       -17.03       -24.58        10.13         0.13    74
      -14.51       -16.48       -13.63        12.92         0.14    82
      -13.98       -15.89        -4.88        12.51         0.14    80
      -13.53       -15.39         2.69        16.96         0.14    90
      -12.99       -14.78        20.38        16.12         0.14    76
      -12.49       -14.21        27.09        11.93         0.15    85
      -12.00       -13.67        32.21        10.36         0.14    82
      -11.49       -13.09        38.01         6.48         0.14    76
      -10.98       -12.50        36.65         5.39         0.14   117
      -10.49       -11.95        40.20         7.30         0.14   151
      -10.01       -11.41        43.47         9.06         0.14   152
       -9.50       -10.83        45.69        11.60         0.15   135
       -8.99       -10.25        45.85        10.88         0.15   119
       -8.50        -9.70        53.74        10.07         0.15   114
       -7.99        -9.12        63.74        14.96         0.14   127
       -7.50        -8.57        93.03        15.76         0.14   128
       -6.99        -7.98       112.84        21.03         0.14   145
       -6.48        -7.40       132.85         9.68         0.15   175
       -5.99        -6.84       137.58         7.47         0.14   171
       -5.49        -6.27       133.35        10.78         0.15   180
       -4.99        -5.70       119.08        11.56         0.14   190
       -4.48        -5.12       109.18        14.00         0.15   185
       -3.97        -4.54        97.29        13.33         0.15   212
       -3.50        -4.00        93.55        14.13         0.14   165
       -3.00        -3.42        91.19        15.45         0.14   149
       -2.49        -2.84        89.64        15.91         0.14   121
       -1.97        -2.26        78.98        11.68         0.14   116
       -1.50        -1.72        76.66        11.27         0.15   116
       -1.00        -1.14        81.42        13.44         0.15   117
       -0.48        -0.55        74.02         8.50         0.15   111
       -0.01        -0.01        74.14         9.48         0.14    84
        0.49         0.57        79.49        18.12         0.14   129
        0.97         1.11        78.99        19.57         0.14   101
        1.51         1.73        83.02        26.46         0.14   105
        1.99         2.28        85.75        21.54         0.14   135
        2.49         2.85        81.21        20.02         0.15   118
