     Lat(Pc)      Lat(Pg)       U(m/s)      Sigma_U     Sigma_Lt   Npt
      -29.99       -33.42       -12.11        10.60         0.14    47
      -29.46       -32.86       -18.20        13.42         0.13    58
      -28.99       -32.36       -20.09        13.22         0.14    74
      -28.50       -31.83       -15.46        10.49         0.14    82
      -28.00       -31.30        -8.07         8.27         0.14    89
      -27.51       -30.77         0.57        10.45         0.14    91
      -27.00       -30.23         7.42        17.46         0.14    95
      -26.50       -29.69        16.22        19.91         0.14    87
      -25.99       -29.14        28.04        21.71         0.14   104
      -25.49       -28.60        32.60        16.18         0.14   114
      -24.98       -28.05        32.10        10.04         0.14   132
      -24.50       -27.52        30.06         7.74         0.14   141
      -24.00       -26.98        32.17         6.36         0.15   140
      -23.50       -26.44        37.05         6.09         0.15   127
      -23.00       -25.89        34.36         7.34         0.14   127
      -22.49       -25.34        30.21         6.16         0.14   132
      -22.00       -24.80        25.16         6.98         0.15   130
      -21.51       -24.26        14.98         8.98         0.14    96
      -20.98       -23.68         6.34         6.49         0.15   124
      -20.50       -23.15         2.43         4.89         0.14   118
      -20.00       -22.59        -7.41        10.11         0.15   103
      -19.49       -22.03       -18.87         8.73         0.15   147
      -18.99       -21.49       -27.06         9.87         0.14   126
      -18.49       -20.93       -35.10         8.98         0.14   142
      -17.98       -20.36       -47.35        11.16         0.14   110
      -17.49       -19.81       -57.05        10.19         0.14   121
      -17.02       -19.29       -54.03        14.11         0.14    98
      -16.51       -18.72       -50.62        13.98         0.14    77
      -15.98       -18.13       -38.64        11.31         0.14    90
      -15.50       -17.60       -32.15        11.53         0.15    80
      -15.00       -17.04       -17.87        10.35         0.14    96
      -14.50       -16.47       -13.14        10.63         0.15    82
      -14.00       -15.92        -5.22        10.44         0.14   124
      -13.49       -15.34         8.25        12.23         0.15   140
      -12.98       -14.76        19.83        10.20         0.14   161
      -12.51       -14.24        23.75        13.11         0.14   151
      -12.01       -13.67        27.37        12.76         0.14   152
      -11.49       -13.09        29.36        10.06         0.14   128
      -11.00       -12.53        29.79         9.28         0.14   178
      -10.50       -11.97        31.15        11.57         0.14   176
       -9.99       -11.39        36.34        13.95         0.14   160
       -9.49       -10.82        42.75        16.75         0.14   168
       -8.99       -10.26        52.05        17.99         0.14   151
       -8.48        -9.68        66.81        22.40         0.14   153
       -7.99        -9.12        86.64        25.52         0.14   154
       -7.50        -8.56       107.17        23.82         0.14   137
       -6.98        -7.97       130.44        14.51         0.15   159
       -6.49        -7.41       131.96        10.97         0.14   202
       -5.98        -6.83       127.83        11.43         0.14   242
       -5.51        -6.29       119.29        12.37         0.14   252
       -5.01        -5.72       110.43        14.24         0.14   215
       -4.50        -5.15        94.61        18.37         0.13   202
       -3.99        -4.57        82.63        14.61         0.15   127
       -3.51        -4.01        77.02        18.41         0.13   150
       -3.01        -3.45        76.76        20.39         0.15    97
       -2.49        -2.84        68.90        17.65         0.13    91
       -2.01        -2.30        67.63        17.58         0.14    69
       -1.50        -1.72        68.13        17.59         0.15    56
       -0.98        -1.12        62.26        14.52         0.14    90
       -0.50        -0.57        58.85        15.03         0.14   104
        0.00         0.00        56.74        16.28         0.13    78
        0.53         0.60        66.90        18.52         0.14    98
        0.98         1.12        63.61        19.19         0.14   121
        1.50         1.71        72.55        17.01         0.15   126
        2.00         2.29        67.55        12.54         0.14   185
        2.50         2.86        69.30        15.83         0.15   200
        3.00         3.42        71.94        17.49         0.15   167
        3.50         4.01        76.81        18.49         0.15   173
        4.00         4.57        68.20        14.87         0.14   212
        4.51         5.15        69.79        15.91         0.14   294
        5.01         5.72        79.30        16.16         0.14   348
        5.50         6.28        83.67        15.09         0.14   329
        5.99         6.84        88.61        14.46         0.14   352
        6.50         7.42        85.54        12.52         0.14   328
        6.99         7.98        88.68        11.09         0.14   341
        7.49         8.55        88.39        12.95         0.15   288
        7.99         9.12        83.09        13.92         0.15   299
        8.50         9.70        71.80        11.72         0.14   338
        8.98        10.25        64.31        12.86         0.14   324
        9.49        10.82        58.68         9.56         0.15   315
        9.99        11.38        51.27         7.98         0.15   305
       10.50        11.97        45.25         7.27         0.14   311
       10.99        12.52        41.36         8.25         0.14   319
       11.49        13.08        33.87         9.15         0.15   301
       11.98        13.64        22.59         9.82         0.14   273
       12.50        14.22        14.32        10.37         0.14   242
       12.99        14.78        10.35         8.74         0.15   192
       13.49        15.34        -0.25         7.75         0.14   220
       14.00        15.91        -6.09         7.34         0.14   219
       14.50        16.47       -10.44         6.78         0.14   234
       14.99        17.02       -13.22         7.01         0.14   230
       15.50        17.60       -13.59         8.15         0.14   236
       16.01        18.16        -8.25         7.72         0.15   309
       16.49        18.70        -3.66        10.84         0.14   324
       17.01        19.28         6.78        11.67         0.14   320
       17.49        19.82        20.15        14.56         0.14   318
       17.99        20.37        40.89        12.39         0.15   364
       18.48        20.92        60.01        17.98         0.15   332
       19.00        21.49        85.94        13.99         0.14   377
       19.49        22.03       107.88        13.68         0.14   392
       19.98        22.58       129.17        12.06         0.15   382
       20.49        23.14       146.61         9.15         0.14   338
       20.99        23.69       156.93         5.31         0.14   320
       21.48        24.23       139.88        13.83         0.15   250
       21.99        24.78       108.59         6.93         0.13   277
       22.48        25.32        90.14         8.79         0.15   265
       22.99        25.88        69.53         7.93         0.15   283
       23.49        26.43        53.21         7.15         0.14   268
       23.99        26.97        37.53         6.45         0.14   260
       24.50        27.52        27.30         4.66         0.14   260
       24.98        28.05        23.61         4.91         0.15   238
       25.49        28.59        15.89         7.02         0.15   239
       26.00        29.15         0.45         9.13         0.15   211
       26.49        29.68        -9.91         8.93         0.14   218
       27.01        30.24       -22.91         8.92         0.14   183
       27.51        30.78       -30.58         6.66         0.14   225
       28.00        31.30       -30.27         6.77         0.14   243
       28.49        31.83       -26.25         6.36         0.14   236
       28.98        32.35       -19.62         6.46         0.14   206
       29.49        32.90        -7.73        11.02         0.14   175
       29.98        33.41        10.58         7.05         0.14   161
