     Lat(Pc)      Lat(Pg)       U(m/s)      Sigma_U     Sigma_Lt   Npt
      -30.03       -33.47       -13.01        11.44         0.14    40
      -29.51       -32.91       -23.55        12.61         0.15    41
      -28.98       -32.35       -33.46        14.72         0.15    41
      -28.50       -31.83       -33.30         6.63         0.14    38
      -28.00       -31.30       -25.47         6.71         0.14    39
      -27.49       -30.76        -7.55         8.62         0.14    32
      -27.00       -30.22         3.03         7.87         0.14    38
      -26.51       -29.70        10.46         8.32         0.14    39
      -26.00       -29.15        26.71        10.62         0.15    51
      -25.48       -28.59        31.44         8.06         0.14    56
      -25.00       -28.07        30.04         8.75         0.14    63
      -24.48       -27.51        33.76         7.44         0.14    63
      -24.01       -26.99        35.88         6.56         0.14    63
      -23.48       -26.41        40.54         7.64         0.13    71
      -23.01       -25.90        45.34         8.85         0.14    98
      -22.49       -25.33        35.69         7.99         0.15   116
      -21.98       -24.78        25.00         8.65         0.15   110
      -21.51       -24.26        19.50         7.42         0.13    91
      -21.00       -23.70        10.95         9.98         0.14    87
      -20.50       -23.15         0.69        10.00         0.15   113
      -19.99       -22.58        -5.84         9.22         0.15   115
      -19.50       -22.05       -13.88        11.28         0.14   117
      -18.98       -21.47       -25.10        13.11         0.15   129
      -18.51       -20.95       -25.10        12.22         0.14   108
      -17.99       -20.37       -39.97        16.06         0.14    99
      -17.50       -19.83       -49.25        15.24         0.14    96
      -17.00       -19.27       -52.47        11.35         0.14    90
      -16.48       -18.70       -54.48         8.77         0.14    84
      -16.01       -18.17       -51.10        10.33         0.14    83
      -15.51       -17.61       -41.08        13.76         0.13    62
      -14.99       -17.03       -36.98        12.07         0.14    65
      -14.51       -16.48       -21.14        11.12         0.14    74
      -14.02       -15.94       -13.50        12.61         0.14    69
      -13.51       -15.36        -5.21        20.01         0.15    25
      -12.98       -14.76         7.74         9.32         0.14    53
      -12.52       -14.25        25.25         9.86         0.13    69
      -11.99       -13.65        30.62         7.38         0.13    70
      -11.51       -13.11        38.79        10.01         0.14    87
      -10.99       -12.52        37.22        10.49         0.15    72
      -10.51       -11.97        43.49        10.21         0.14    72
       -9.99       -11.39        45.77         5.99         0.14    84
       -9.50       -10.83        49.85        12.09         0.14    70
       -8.98       -10.25        54.68        11.79         0.14    76
       -8.46        -9.66        65.30        11.50         0.14    89
       -8.04        -9.17        73.94        12.55         0.14    88
       -7.51        -8.57        86.30        19.47         0.14    76
       -6.98        -7.97       108.02        19.56         0.14    88
       -6.47        -7.39       109.92        13.70         0.13   128
       -5.99        -6.84       103.95         9.67         0.14   166
       -5.49        -6.27        98.96         8.31         0.14   186
       -5.01        -5.72        91.56         9.29         0.14   176
       -4.50        -5.14        86.40        13.52         0.14   153
       -3.97        -4.54        82.79        11.81         0.14   111
       -3.54        -4.05        90.75        15.42         0.14    86
       -3.03        -3.47        80.88        10.15         0.13    31
       -2.57        -2.94        85.63         5.71         0.13     9
       -1.97        -2.25        76.25        19.52         0.12    28
       -1.51        -1.72        75.70        23.69         0.13    52
       -1.00        -1.14        61.00        19.14         0.15    59
       -0.49        -0.57        83.57        22.90         0.13   111
       -0.04        -0.04        83.01        26.24         0.14    73
        0.51         0.58        59.14        16.86         0.14    76
        0.99         1.14        68.92        28.39         0.14    82
        1.50         1.71        78.28        35.07         0.15    85
        2.00         2.29        58.40        32.56         0.15    70
        2.50         2.85        69.00        28.18         0.15    99
        2.99         3.42        71.26        20.75         0.14    90
        3.49         3.99        71.22        17.57         0.14   110
        4.00         4.57        64.20        10.04         0.14   119
        4.50         5.14        74.50        13.05         0.14   138
        4.99         5.71        71.62        11.67         0.14   132
        5.48         6.26        76.49        11.82         0.14   126
        6.00         6.85        78.44        14.71         0.14   132
        6.51         7.43        78.47        11.70         0.14   125
        6.99         7.98        80.80        10.51         0.14   123
        7.48         8.54        84.46         9.28         0.15   122
        7.98         9.11        83.67        11.27         0.14   110
        8.50         9.69        79.54        12.51         0.14   115
        9.00        10.27        74.61        12.86         0.14   129
        9.50        10.84        66.27        12.34         0.14   139
        9.97        11.37        60.41        12.05         0.14   143
       10.50        11.96        54.63        12.78         0.15   143
       11.00        12.53        40.98        10.96         0.15   158
       11.49        13.08        33.77         9.99         0.14   160
       11.98        13.64        22.61        12.06         0.14   151
       12.50        14.22         6.81        10.98         0.15   164
       12.99        14.78        -1.58         8.05         0.14   134
       13.50        15.35        -4.84         8.77         0.14   126
       13.99        15.91        -9.90         9.58         0.14   129
       14.48        16.45       -10.38         9.68         0.15   142
       14.98        17.02       -13.04         8.19         0.14   128
       15.50        17.59       -13.10         7.96         0.14   142
       16.01        18.17        -7.43        10.23         0.14   127
       16.49        18.71        -3.10         8.39         0.15   122
       16.99        19.26         5.03         9.15         0.16   121
       17.48        19.80        20.61         8.92         0.14   123
       17.98        20.37        39.91         8.38         0.15   115
       18.48        20.91        59.05         9.53         0.14   134
       19.00        21.49        81.22        14.36         0.15   120
       19.48        22.02       101.66        12.07         0.14   111
       20.01        22.61       122.64         8.71         0.15    92
       20.49        23.14       141.14        12.76         0.15   110
       20.99        23.69       157.37         5.58         0.14   118
       21.50        24.25       143.98        11.44         0.15   107
       21.96        24.75       120.32        12.63         0.15   111
       22.49        25.34        89.36        11.92         0.14    92
       22.98        25.87        65.77        10.98         0.15    81
       23.52        26.46        44.18         8.81         0.14    75
       23.98        26.97        35.27         7.62         0.14    93
       24.50        27.52        25.87         6.64         0.16    86
       24.98        28.05        21.12         6.01         0.14    89
       25.47        28.58        14.37         7.25         0.14    88
       26.01        29.16        -2.41        11.72         0.14    87
       26.49        29.67       -10.16        10.73         0.15    97
       26.99        30.22       -23.08         7.31         0.14    90
       27.49        30.76       -35.02         6.23         0.14    87
       28.00        31.30       -33.73         6.85         0.14    91
       28.50        31.84       -28.59         7.94         0.14    96
       28.96        32.33       -19.20         8.79         0.14    78
       29.48        32.88        -4.45         8.86         0.15    75
       30.00        33.44         8.21         6.69         0.14    63
