PC_Latitude,I/F,Error
-90.0,nan,nan
-89.9,nan,nan
-89.8,nan,nan
-89.7,nan,nan
-89.6,nan,nan
-89.5,nan,nan
-89.4,nan,nan
-89.3,nan,nan
-89.2,nan,nan
-89.1,nan,nan
-89.0,nan,nan
-88.9,nan,nan
-88.8,nan,nan
-88.7,nan,nan
-88.6,nan,nan
-88.5,nan,nan
-88.4,nan,nan
-88.3,nan,nan
-88.2,nan,nan
-88.1,nan,nan
-88.0,nan,nan
-87.9,nan,nan
-87.8,nan,nan
-87.7,nan,nan
-87.6,nan,nan
-87.5,nan,nan
-87.4,nan,nan
-87.3,nan,nan
-87.2,nan,nan
-87.1,nan,nan
-87.0,nan,nan
-86.9,nan,nan
-86.8,nan,nan
-86.7,nan,nan
-86.6,nan,nan
-86.5,nan,nan
-86.4,nan,nan
-86.3,nan,nan
-86.2,nan,nan
-86.1,nan,nan
-86.0,nan,nan
-85.9,nan,nan
-85.8,nan,nan
-85.7,nan,nan
-85.6,nan,nan
-85.5,nan,nan
-85.4,nan,nan
-85.3,nan,nan
-85.2,nan,nan
-85.1,nan,nan
-85.0,nan,nan
-84.9,nan,nan
-84.8,nan,nan
-84.7,nan,nan
-84.6,nan,nan
-84.5,nan,nan
-84.4,nan,nan
-84.3,nan,nan
-84.2,nan,nan
-84.1,nan,nan
-84.0,nan,nan
-83.9,nan,nan
-83.8,nan,nan
-83.7,nan,nan
-83.6,nan,nan
-83.5,nan,nan
-83.4,nan,nan
-83.3,nan,nan
-83.2,nan,nan
-83.1,nan,nan
-83.0,nan,nan
-82.9,nan,nan
-82.8,nan,nan
-82.7,nan,nan
-82.6,nan,nan
-82.5,nan,nan
-82.4,nan,nan
-82.3,nan,nan
-82.2,nan,nan
-82.1,nan,nan
-82.0,nan,nan
-81.9,nan,nan
-81.8,nan,nan
-81.7,nan,nan
-81.6,nan,nan
-81.5,nan,nan
-81.4,nan,nan
-81.3,nan,nan
-81.2,nan,nan
-81.1,nan,nan
-81.0,0.30420926,0.00523529
-80.9,0.30275425,0.005367616
-80.8,0.3015718,0.005470516
-80.7,0.2998986,0.0054571647
-80.6,0.29816502,0.005600974
-80.5,0.29632676,0.005837594
-80.4,0.2943879,0.006059645
-80.3,0.29250774,0.0062806834
-80.2,0.29065377,0.006545407
-80.1,0.28881773,0.006817463
-80.0,0.28704798,0.007072196
-79.9,0.2852948,0.007399101
-79.8,0.28353813,0.0077761565
-79.7,0.28172728,0.008130357
-79.6,0.27986798,0.008390175
-79.5,0.27793348,0.008581061
-79.4,0.27591938,0.008682654
-79.3,0.27395514,0.008776137
-79.2,0.27199808,0.008894963
-79.1,0.270036,0.009025111
-79.0,0.268078,0.009133411
-78.9,0.26614085,0.009254565
-78.8,0.26423174,0.009390704
-78.7,0.26233467,0.009522787
-78.6,0.26048556,0.009658451
-78.5,0.25864238,0.009785095
-78.4,0.2567867,0.009881693
-78.3,0.2549373,0.009935047
-78.2,0.2530957,0.00998119
-78.1,0.25126854,0.010027777
-78.0,0.24947241,0.0100652315
-77.9,0.24769825,0.010099341
-77.8,0.24593732,0.0101171015
-77.7,0.2441917,0.010097146
-77.6,0.24246052,0.010074903
-77.5,0.2407493,0.010060754
-77.4,0.23905315,0.01004654
-77.3,0.23738278,0.010034071
-77.2,0.23571815,0.010013094
-77.1,0.23404714,0.009968325
-77.0,0.23239097,0.00990455
-76.9,0.23075145,0.009845233
-76.8,0.229126,0.009792021
-76.7,0.22752087,0.0097367205
-76.6,0.22591339,0.0096771475
-76.5,0.22430359,0.009603206
-76.4,0.22269796,0.009509901
-76.3,0.2211058,0.009424557
-76.2,0.2195285,0.009344183
-76.1,0.2179688,0.009260998
-76.0,0.2164248,0.009180356
-75.9,0.21489218,0.009095721
-75.8,0.21337102,0.009000353
-75.7,0.2118641,0.008911964
-75.6,0.21037602,0.008831544
-75.5,0.20890556,0.0087448
-75.4,0.20744526,0.008655985
-75.3,0.2059939,0.008561054
-75.2,0.20455289,0.008459342
-75.1,0.20313068,0.008371808
-75.0,0.20172867,0.008282453
-74.9,0.20034662,0.008177964
-74.8,0.1989876,0.008067456
-74.7,0.19764209,0.007952748
-74.6,0.19630864,0.007836831
-74.5,0.19498184,0.007722829
-74.4,0.19366923,0.007603191
-74.3,0.1923683,0.007469286
-74.2,0.19108777,0.0073387865
-74.1,0.18982323,0.0072169285
-74.0,0.18856895,0.007103019
-73.9,0.18732764,0.006993986
-73.8,0.18610345,0.0068827337
-73.7,0.18489286,0.0067692366
-73.6,0.18369536,0.0066643446
-73.5,0.18251091,0.006562177
-73.4,0.18133445,0.0064618164
-73.3,0.18017508,0.0063680643
-73.2,0.17903852,0.006277342
-73.1,0.1779105,0.006205488
-73.0,0.17678976,0.006136534
-72.9,0.17566934,0.0060511753
-72.8,0.17454454,0.0059521208
-72.7,0.17342548,0.005847668
-72.6,0.17231192,0.005742946
-72.5,0.1712093,0.005654322
-72.4,0.1701188,0.0055758157
-72.3,0.1690341,0.0055072205
-72.2,0.1679604,0.005452437
-72.1,0.16689707,0.0054048067
-72.0,0.16583098,0.0053575435
-71.9,0.16477023,0.005309927
-71.8,0.16371849,0.0052556256
-71.7,0.16266757,0.005217944
-71.6,0.16162318,0.0051950784
-71.5,0.16057488,0.0051729
-71.4,0.15952995,0.0051526036
-71.3,0.15849029,0.005134194
-71.2,0.15745378,0.005130126
-71.1,0.15642524,0.005139719
-71.0,0.15541275,0.0051482455
-70.9,0.15440238,0.0051682405
-70.8,0.15340313,0.0052014515
-70.7,0.15240175,0.0052495617
-70.6,0.15139754,0.00530262
-70.5,0.15039434,0.00535309
-70.4,0.14939168,0.005407239
-70.3,0.14839943,0.0054775733
-70.2,0.14742154,0.005549772
-70.1,0.14644197,0.005622007
-70.0,0.14547314,0.005690737
-69.9,0.14450094,0.0057628485
-69.8,0.14354502,0.0058314386
-69.7,0.14260906,0.005885981
-69.6,0.14168152,0.0059376042
-69.5,0.14076072,0.0059931166
-69.4,0.13983326,0.0060378634
-69.3,0.13890272,0.006066432
-69.2,0.13797604,0.006075733
-69.1,0.13704431,0.006087307
-69.0,0.13611645,0.0060995687
-68.9,0.13518551,0.0061077797
-68.8,0.13425568,0.0061183865
-68.7,0.1333361,0.00613227
-68.6,0.13240585,0.0061449236
-68.5,0.13146943,0.0061504445
-68.4,0.13052212,0.006149475
