PC_Latitude,I/F,Error
-90.0,nan,nan
-89.9,nan,nan
-89.8,nan,nan
-89.7,nan,nan
-89.6,nan,nan
-89.5,nan,nan
-89.4,nan,nan
-89.3,nan,nan
-89.2,nan,nan
-89.1,nan,nan
-89.0,nan,nan
-88.9,nan,nan
-88.8,nan,nan
-88.7,nan,nan
-88.6,nan,nan
-88.5,nan,nan
-88.4,nan,nan
-88.3,nan,nan
-88.2,nan,nan
-88.1,nan,nan
-88.0,nan,nan
-87.9,nan,nan
-87.8,nan,nan
-87.7,nan,nan
-87.6,nan,nan
-87.5,nan,nan
-87.4,nan,nan
-87.3,nan,nan
-87.2,nan,nan
-87.1,nan,nan
-87.0,nan,nan
-86.9,nan,nan
-86.8,nan,nan
-86.7,nan,nan
-86.6,nan,nan
-86.5,nan,nan
-86.4,nan,nan
-86.3,nan,nan
-86.2,nan,nan
-86.1,nan,nan
-86.0,nan,nan
-85.9,nan,nan
-85.8,nan,nan
-85.7,nan,nan
-85.6,nan,nan
-85.5,nan,nan
-85.4,nan,nan
-85.3,nan,nan
-85.2,nan,nan
-85.1,nan,nan
-85.0,nan,nan
-84.9,nan,nan
-84.8,nan,nan
-84.7,nan,nan
-84.6,nan,nan
-84.5,nan,nan
-84.4,nan,nan
-84.3,nan,nan
-84.2,nan,nan
-84.1,nan,nan
-84.0,nan,nan
-83.9,nan,nan
-83.8,nan,nan
-83.7,nan,nan
-83.6,nan,nan
-83.5,nan,nan
-83.4,nan,nan
-83.3,nan,nan
-83.2,nan,nan
-83.1,nan,nan
-83.0,nan,nan
-82.9,nan,nan
-82.8,nan,nan
-82.7,nan,nan
-82.6,nan,nan
-82.5,nan,nan
-82.4,nan,nan
-82.3,nan,nan
-82.2,nan,nan
-82.1,nan,nan
-82.0,nan,nan
-81.9,nan,nan
-81.8,nan,nan
-81.7,nan,nan
-81.6,nan,nan
-81.5,nan,nan
-81.4,nan,nan
-81.3,nan,nan
-81.2,nan,nan
-81.1,nan,nan
-81.0,nan,nan
-80.9,nan,nan
-80.8,nan,nan
-80.7,nan,nan
-80.6,nan,nan
-80.5,nan,nan
-80.4,nan,nan
-80.3,nan,nan
-80.2,nan,nan
-80.1,nan,nan
-80.0,nan,nan
-79.9,nan,nan
-79.8,nan,nan
-79.7,nan,nan
-79.6,0.3288447,0.00435116
-79.5,0.3286571,0.005451342
-79.4,0.32793486,0.0063050482
-79.3,0.3266238,0.007485123
-79.2,0.32479516,0.008505735
-79.1,0.32301956,0.009178323
-79.0,0.32130894,0.009724128
-78.9,0.31967714,0.010258794
-78.8,0.31797177,0.010790132
-78.7,0.31631115,0.011291563
-78.6,0.3146425,0.011804527
-78.5,0.31296256,0.012325144
-78.4,0.31126344,0.012814812
-78.3,0.3095131,0.013302613
-78.2,0.30774307,0.013809419
-78.1,0.3059708,0.014323247
-78.0,0.30425033,0.014833956
-77.9,0.30252546,0.015359667
-77.8,0.3005607,0.015719356
-77.7,0.29837602,0.015864838
-77.6,0.2959684,0.015793286
-77.5,0.29359007,0.01573124
-77.4,0.291258,0.015654858
-77.3,0.28895617,0.01558844
-77.2,0.28667775,0.015532776
-77.1,0.2844218,0.015475081
-77.0,0.28220022,0.015418487
-76.9,0.28000742,0.015370264
-76.8,0.27782902,0.015335915
-76.7,0.2756922,0.015301416
-76.6,0.2735782,0.015292967
-76.5,0.27148265,0.015309744
-76.4,0.26942244,0.015322342
-76.3,0.26739416,0.015346819
-76.2,0.26540878,0.015368249
-76.1,0.26347765,0.015380596
-76.0,0.261588,0.015394904
-75.9,0.25972447,0.015414555
-75.8,0.25789186,0.015420391
-75.7,0.25608164,0.015405568
-75.6,0.2542943,0.015369063
-75.5,0.25252372,0.015300367
-75.4,0.25078228,0.015238637
-75.3,0.24906078,0.015171281
-75.2,0.2473476,0.015087952
-75.1,0.2456586,0.014968822
-75.0,0.24398671,0.014835391
-74.9,0.24232824,0.014704512
-74.8,0.24068914,0.014565987
-74.7,0.23906545,0.01442462
-74.6,0.23745835,0.014279573
-74.5,0.23587632,0.014136606
-74.4,0.23430687,0.014004846
-74.3,0.23273708,0.013878121
-74.2,0.23116626,0.013753197
-74.1,0.22960393,0.013636715
-74.0,0.2280565,0.013527017
-73.9,0.22653003,0.013421093
-73.8,0.22502732,0.013330474
-73.7,0.2235477,0.013253509
-73.6,0.22209029,0.013189212
-73.5,0.22065239,0.013127262
-73.4,0.21924494,0.01308289
-73.3,0.21786594,0.01306065
-73.2,0.21651018,0.013064048
-73.1,0.21517417,0.013071696
-73.0,0.21385646,0.013073519
-72.9,0.21256219,0.013075511
-72.8,0.21128727,0.013073177
-72.7,0.21002409,0.013072779
-72.6,0.20877221,0.0130662555
-72.5,0.2075334,0.013047259
-72.4,0.20630231,0.013028235
-72.3,0.20508389,0.01301399
-72.2,0.2038795,0.012990442
-72.1,0.20267257,0.012960879
-72.0,0.20147233,0.012918427
-71.9,0.2002805,0.012870537
-71.8,0.19909407,0.012814755
-71.7,0.19790986,0.012746428
-71.6,0.19672248,0.0126591725
-71.5,0.1955386,0.012575766
-71.4,0.19435644,0.012493259
-71.3,0.19317186,0.012412881
-71.2,0.19199216,0.012332636
-71.1,0.19082339,0.012254392
-71.0,0.18965274,0.012183703
-70.9,0.18848708,0.012117523
-70.8,0.18733564,0.0120473355
-70.7,0.18617898,0.011996784
-70.6,0.185024,0.011950089
-70.5,0.1838666,0.011906443
-70.4,0.18271507,0.0118652955
-70.3,0.18155551,0.011835318
-70.2,0.1803761,0.011822061
-70.1,0.17918263,0.011820024
-70.0,0.17799272,0.011826445
-69.9,0.17680378,0.011860858
-69.8,0.17562242,0.011921392
-69.7,0.17445388,0.011998854
-69.6,0.17328545,0.012094721
-69.5,0.17212841,0.012204858
-69.4,0.17097887,0.012332387
-69.3,0.1698381,0.012471885
-69.2,0.1686936,0.012622048
-69.1,0.16753641,0.012788346
-69.0,0.16638035,0.012966641
-68.9,0.16521004,0.01316413
-68.8,0.16401741,0.013388284
-68.7,0.1628093,0.013631002
-68.6,0.16160026,0.0138883125
-68.5,0.16037837,0.014130408
-68.4,0.15914819,0.014346827
-68.3,0.15789735,0.014548433
-68.2,0.15663229,0.014741449
-68.1,0.15534583,0.014921962
-68.0,0.15404645,0.015090095
-67.9,0.1527379,0.015249189
-67.8,0.15140176,0.015409157
-67.7,0.15004933,0.015557877
