PC_Latitude,I/F,Error
-90.0,nan,nan
-89.9,nan,nan
-89.8,nan,nan
-89.7,nan,nan
-89.6,nan,nan
-89.5,nan,nan
-89.4,nan,nan
-89.3,nan,nan
-89.2,nan,nan
-89.1,nan,nan
-89.0,nan,nan
-88.9,nan,nan
-88.8,nan,nan
-88.7,nan,nan
-88.6,nan,nan
-88.5,nan,nan
-88.4,nan,nan
-88.3,nan,nan
-88.2,nan,nan
-88.1,nan,nan
-88.0,nan,nan
-87.9,nan,nan
-87.8,nan,nan
-87.7,nan,nan
-87.6,nan,nan
-87.5,nan,nan
-87.4,nan,nan
-87.3,nan,nan
-87.2,nan,nan
-87.1,nan,nan
-87.0,nan,nan
-86.9,nan,nan
-86.8,nan,nan
-86.7,nan,nan
-86.6,nan,nan
-86.5,nan,nan
-86.4,nan,nan
-86.3,nan,nan
-86.2,nan,nan
-86.1,nan,nan
-86.0,nan,nan
-85.9,nan,nan
-85.8,nan,nan
-85.7,nan,nan
-85.6,nan,nan
-85.5,nan,nan
-85.4,nan,nan
-85.3,nan,nan
-85.2,nan,nan
-85.1,nan,nan
-85.0,nan,nan
-84.9,nan,nan
-84.8,nan,nan
-84.7,nan,nan
-84.6,nan,nan
-84.5,nan,nan
-84.4,nan,nan
-84.3,nan,nan
-84.2,nan,nan
-84.1,nan,nan
-84.0,nan,nan
-83.9,nan,nan
-83.8,nan,nan
-83.7,nan,nan
-83.6,nan,nan
-83.5,nan,nan
-83.4,nan,nan
-83.3,nan,nan
-83.2,nan,nan
-83.1,nan,nan
-83.0,nan,nan
-82.9,nan,nan
-82.8,nan,nan
-82.7,nan,nan
-82.6,nan,nan
-82.5,nan,nan
-82.4,nan,nan
-82.3,nan,nan
-82.2,nan,nan
-82.1,nan,nan
-82.0,nan,nan
-81.9,nan,nan
-81.8,nan,nan
-81.7,nan,nan
-81.6,nan,nan
-81.5,nan,nan
-81.4,nan,nan
-81.3,nan,nan
-81.2,nan,nan
-81.1,nan,nan
-81.0,nan,nan
-80.9,nan,nan
-80.8,nan,nan
-80.7,nan,nan
-80.6,nan,nan
-80.5,nan,nan
-80.4,nan,nan
-80.3,nan,nan
-80.2,nan,nan
-80.1,nan,nan
-80.0,0.3302241,0.0064199464
-79.9,0.32925487,0.0066323406
-79.8,0.32842186,0.00679692
-79.7,0.32695436,0.0069854814
-79.6,0.3253157,0.0071239374
-79.5,0.323484,0.0071951696
-79.4,0.32163695,0.0072504138
-79.3,0.31982514,0.0074373954
-79.2,0.31802395,0.0076984363
-79.1,0.3162682,0.007964671
-79.0,0.3145377,0.00828234
-78.9,0.31269464,0.008527183
-78.8,0.3106886,0.0086543625
-78.7,0.30854663,0.008602324
-78.6,0.30640852,0.00855829
-78.5,0.3042891,0.008521191
-78.4,0.3022218,0.008472741
-78.3,0.30016503,0.008459654
-78.2,0.29810175,0.008461947
-78.1,0.29604587,0.008442084
-78.0,0.29400733,0.008435742
-77.9,0.29199648,0.008439305
-77.8,0.2899984,0.008449698
-77.7,0.2880278,0.008455575
-77.6,0.2860571,0.008471103
-77.5,0.28408325,0.008475461
-77.4,0.28215167,0.008474744
-77.3,0.28024817,0.008502748
-77.2,0.27835616,0.008555566
-77.1,0.27648148,0.008611115
-77.0,0.27461463,0.008681376
-76.9,0.27276307,0.008765942
-76.8,0.27093512,0.008856828
-76.7,0.2691132,0.0089798635
-76.6,0.26729533,0.009128756
-76.5,0.2654837,0.00927842
-76.4,0.2636996,0.009445496
-76.3,0.2619212,0.009631203
-76.2,0.26012775,0.009818684
-76.1,0.2583448,0.010004659
-76.0,0.25657415,0.01019895
-75.9,0.25481713,0.010400053
-75.8,0.25306937,0.010605195
-75.7,0.25132227,0.010821568
-75.6,0.24957614,0.011039463
-75.5,0.247852,0.011257306
-75.4,0.24613854,0.011474824
-75.3,0.24443106,0.011685415
-75.2,0.2427301,0.0118764145
-75.1,0.24104309,0.01207165
-75.0,0.23936601,0.012252133
-74.9,0.2376972,0.012401176
-74.8,0.23603353,0.012526471
-74.7,0.23438191,0.012642226
-74.6,0.23274215,0.012744196
-74.5,0.23111126,0.012824033
-74.4,0.22948568,0.012874879
-74.3,0.22786914,0.012904893
-74.2,0.22626738,0.012937977
-74.1,0.22467051,0.012958318
-74.0,0.22307116,0.012954438
-73.9,0.22147363,0.012937483
-73.8,0.21988472,0.012919524
-73.7,0.21830565,0.012876783
-73.6,0.21673225,0.012808989
-73.5,0.21516785,0.012715925
-73.4,0.21361166,0.012615499
-73.3,0.21206872,0.012498587
-73.2,0.21053703,0.012356042
-73.1,0.20901524,0.012185872
-73.0,0.20750378,0.012014329
-72.9,0.20600927,0.011829439
-72.8,0.20452566,0.011626484
-72.7,0.2030592,0.01141592
-72.6,0.20160551,0.011205765
-72.5,0.20016217,0.011005037
-72.4,0.19873628,0.010814007
-72.3,0.19733064,0.0106318435
-72.2,0.1959337,0.010458933
-72.1,0.1945492,0.01029361
-72.0,0.1931836,0.010128374
-71.9,0.19182833,0.009975807
-71.8,0.19048992,0.009824245
-71.7,0.18916517,0.009665007
-71.6,0.1878589,0.00950281
-71.5,0.1865721,0.009344606
-71.4,0.18530135,0.009182109
-71.3,0.18405122,0.00901706
-71.2,0.18282172,0.008846483
-71.1,0.18160489,0.008683781
-71.0,0.18040907,0.008534758
-70.9,0.17924076,0.008394584
-70.8,0.1780793,0.008264483
-70.7,0.1769367,0.008142825
-70.6,0.17580841,0.008025173
-70.5,0.17469612,0.007917656
-70.4,0.17359778,0.007811137
-70.3,0.17250717,0.0077027553
-70.2,0.17142898,0.007596231
-70.1,0.17036776,0.0074899364
-70.0,0.16930658,0.0073906397
-69.9,0.16825798,0.0072963983
-69.8,0.16721974,0.007204846
-69.7,0.16619049,0.0071245083
-69.6,0.16517338,0.007050227
-69.5,0.1641584,0.006979824
-69.4,0.1631505,0.0069156885
-69.3,0.16215667,0.006853114
-69.2,0.16116145,0.0068006874
-69.1,0.16018078,0.006758091
-69.0,0.15920861,0.0067212656
-68.9,0.15825246,0.006694324
-68.8,0.15731354,0.006671409
-68.7,0.1563793,0.0066502406
-68.6,0.15545827,0.006627666
-68.5,0.15454848,0.006602652
-68.4,0.15364386,0.006579928
-68.3,0.15274991,0.0065548457
-68.2,0.15185562,0.0065290537
-68.1,0.15096778,0.006504417
-68.0,0.15008569,0.0064785304
