PC_Latitude,I/F,Error
-90.0,nan,nan
-89.9,nan,nan
-89.8,nan,nan
-89.7,nan,nan
-89.6,nan,nan
-89.5,nan,nan
-89.4,nan,nan
-89.3,nan,nan
-89.2,nan,nan
-89.1,nan,nan
-89.0,nan,nan
-88.9,nan,nan
-88.8,nan,nan
-88.7,nan,nan
-88.6,nan,nan
-88.5,nan,nan
-88.4,nan,nan
-88.3,nan,nan
-88.2,nan,nan
-88.1,nan,nan
-88.0,nan,nan
-87.9,nan,nan
-87.8,nan,nan
-87.7,nan,nan
-87.6,nan,nan
-87.5,nan,nan
-87.4,nan,nan
-87.3,nan,nan
-87.2,nan,nan
-87.1,nan,nan
-87.0,nan,nan
-86.9,nan,nan
-86.8,nan,nan
-86.7,nan,nan
-86.6,nan,nan
-86.5,nan,nan
-86.4,nan,nan
-86.3,nan,nan
-86.2,nan,nan
-86.1,nan,nan
-86.0,nan,nan
-85.9,nan,nan
-85.8,nan,nan
-85.7,nan,nan
-85.6,nan,nan
-85.5,nan,nan
-85.4,nan,nan
-85.3,nan,nan
-85.2,nan,nan
-85.1,nan,nan
-85.0,nan,nan
-84.9,nan,nan
-84.8,nan,nan
-84.7,nan,nan
-84.6,nan,nan
-84.5,nan,nan
-84.4,nan,nan
-84.3,nan,nan
-84.2,nan,nan
-84.1,nan,nan
-84.0,nan,nan
-83.9,nan,nan
-83.8,nan,nan
-83.7,nan,nan
-83.6,nan,nan
-83.5,nan,nan
-83.4,nan,nan
-83.3,nan,nan
-83.2,nan,nan
-83.1,nan,nan
-83.0,nan,nan
-82.9,nan,nan
-82.8,nan,nan
-82.7,nan,nan
-82.6,nan,nan
-82.5,nan,nan
-82.4,nan,nan
-82.3,nan,nan
-82.2,nan,nan
-82.1,nan,nan
-82.0,nan,nan
-81.9,nan,nan
-81.8,nan,nan
-81.7,0.3475881,0.005448133
-81.6,0.3467123,0.007240819
-81.5,0.34594363,0.008766103
-81.4,0.34473774,0.010000769
-81.3,0.34316102,0.011125608
-81.2,0.3414137,0.011970979
-81.1,0.3396374,0.012853593
-81.0,0.3378776,0.013767643
-80.9,0.33615333,0.01462425
-80.8,0.33443815,0.015478792
-80.7,0.33275393,0.016310943
-80.6,0.33090162,0.016979448
-80.5,0.3289115,0.017444855
-80.4,0.3267149,0.01772082
-80.3,0.32447776,0.017927442
-80.2,0.3222766,0.01808026
-80.1,0.32009676,0.018229414
-80.0,0.31794125,0.01838634
-79.9,0.31581765,0.018521626
-79.8,0.3137069,0.018658001
-79.7,0.31160468,0.018782062
-79.6,0.30949908,0.01890603
-79.5,0.30745494,0.019022737
-79.4,0.30543774,0.019142255
-79.3,0.3034283,0.01924914
-79.2,0.3014477,0.019327233
-79.1,0.2994754,0.019391973
-79.0,0.29752126,0.019460991
-78.9,0.2955962,0.019521689
-78.8,0.29368985,0.019580077
-78.7,0.2917963,0.019621689
-78.6,0.2899287,0.019643473
-78.5,0.2880848,0.019671813
-78.4,0.2862631,0.019707581
-78.3,0.2844404,0.019728845
-78.2,0.28265837,0.019725982
-78.1,0.28089052,0.019711398
-78.0,0.27913836,0.019696278
-77.9,0.2774042,0.019677911
-77.8,0.27567384,0.019655632
-77.7,0.27393624,0.019617165
-77.6,0.2722105,0.019568302
-77.5,0.27050108,0.019525886
-77.4,0.2687993,0.019488499
-77.3,0.2671004,0.019433662
-77.2,0.26540023,0.019364398
-77.1,0.26370734,0.01928256
-77.0,0.26203358,0.01919513
-76.9,0.2603671,0.019096965
-76.8,0.25870782,0.018968424
-76.7,0.25706008,0.018802466
-76.6,0.2554346,0.018629022
-76.5,0.25381392,0.018452711
-76.4,0.25218245,0.01825769
-76.3,0.25053254,0.018038543
-76.2,0.24888046,0.017807176
-76.1,0.24723244,0.017563986
-76.0,0.24557447,0.017319141
-75.9,0.24389471,0.017053118
-75.8,0.24220024,0.016763309
-75.7,0.24050795,0.016463546
-75.6,0.23881468,0.016160639
-75.5,0.2371053,0.015828501
-75.4,0.23538356,0.015480406
-75.3,0.23365983,0.015125182
-75.2,0.23193753,0.0147586465
-75.1,0.23020941,0.014384401
-75.0,0.22847466,0.013989828
-74.9,0.22673695,0.013592181
-74.8,0.22500238,0.013209154
-74.7,0.22327502,0.012850264
-74.6,0.22155356,0.012504237
-74.5,0.21985412,0.012183407
-74.4,0.21817027,0.011885368
-74.3,0.21650171,0.01161723
-74.2,0.21484624,0.011381513
-74.1,0.21321194,0.011169527
-74.0,0.21159853,0.010973868
-73.9,0.21001221,0.010789104
-73.8,0.20845233,0.010608903
-73.7,0.20690641,0.010426079
-73.6,0.20539145,0.010259881
-73.5,0.20391795,0.010106685
-73.4,0.2024663,0.009976743
-73.3,0.20103799,0.009861577
-73.2,0.1996331,0.00975961
-73.1,0.19825152,0.00967755
-73.0,0.19689344,0.0096141
-72.9,0.19555071,0.009558943
-72.8,0.19422795,0.0095145935
-72.7,0.19292544,0.009472322
-72.6,0.19163586,0.009427879
-72.5,0.1903605,0.009376947
-72.4,0.18909843,0.009313676
-72.3,0.18783122,0.009242613
-72.2,0.18656892,0.00916763
-72.1,0.18531613,0.009080766
-72.0,0.1840653,0.00898516
-71.9,0.18281755,0.00887401
-71.8,0.18156224,0.00872663
-71.7,0.18031043,0.008542782
-71.6,0.1790705,0.008329684
-71.5,0.17781727,0.008092454
-71.4,0.17655528,0.007830652
-71.3,0.17528592,0.007540693
-71.2,0.17401,0.007256422
-71.1,0.17273073,0.0069680125
-71.0,0.17143859,0.0066718473
-70.9,0.17014526,0.006384372
-70.8,0.16886918,0.0060994127
-70.7,0.16759531,0.005827198
-70.6,0.16634299,0.005569349
-70.5,0.16511472,0.005319693
-70.4,0.163924,0.0050873416
-70.3,0.16277437,0.0048732352
-70.2,0.16164602,0.004681631
-70.1,0.16054317,0.004510678
-70.0,0.15946396,0.004356786
-69.9,0.15840149,0.0042263265
-69.8,0.15736888,0.0041031353
-69.7,0.15635844,0.0040017497
-69.6,0.15538074,0.003926515
-69.5,0.15442938,0.0038709256
-69.4,0.15349317,0.0038359582
-69.3,0.15257399,0.0038146274
-69.2,0.1516507,0.0038084835
-69.1,0.15072829,0.0038101154
-69.0,0.14980848,0.0038130796
-68.9,0.14888969,0.003831084
-68.8,0.14798397,0.003857038
-68.7,0.14707485,0.0038960557
-68.6,0.14618456,0.003947672
-68.5,0.14530687,0.0040140087
