PC_Latitude,I/F,Error
-90.0,nan,nan
-89.9,nan,nan
-89.8,nan,nan
-89.7,nan,nan
-89.6,nan,nan
-89.5,nan,nan
-89.4,nan,nan
-89.3,nan,nan
-89.2,nan,nan
-89.1,nan,nan
-89.0,nan,nan
-88.9,nan,nan
-88.8,nan,nan
-88.7,nan,nan
-88.6,nan,nan
-88.5,nan,nan
-88.4,nan,nan
-88.3,nan,nan
-88.2,nan,nan
-88.1,nan,nan
-88.0,nan,nan
-87.9,nan,nan
-87.8,nan,nan
-87.7,nan,nan
-87.6,nan,nan
-87.5,nan,nan
-87.4,nan,nan
-87.3,nan,nan
-87.2,nan,nan
-87.1,nan,nan
-87.0,nan,nan
-86.9,nan,nan
-86.8,nan,nan
-86.7,nan,nan
-86.6,nan,nan
-86.5,nan,nan
-86.4,nan,nan
-86.3,nan,nan
-86.2,nan,nan
-86.1,nan,nan
-86.0,nan,nan
-85.9,nan,nan
-85.8,nan,nan
-85.7,nan,nan
-85.6,nan,nan
-85.5,nan,nan
-85.4,nan,nan
-85.3,nan,nan
-85.2,nan,nan
-85.1,nan,nan
-85.0,nan,nan
-84.9,nan,nan
-84.8,nan,nan
-84.7,nan,nan
-84.6,nan,nan
-84.5,nan,nan
-84.4,nan,nan
-84.3,nan,nan
-84.2,nan,nan
-84.1,nan,nan
-84.0,nan,nan
-83.9,nan,nan
-83.8,nan,nan
-83.7,nan,nan
-83.6,nan,nan
-83.5,nan,nan
-83.4,nan,nan
-83.3,nan,nan
-83.2,nan,nan
-83.1,nan,nan
-83.0,nan,nan
-82.9,nan,nan
-82.8,nan,nan
-82.7,nan,nan
-82.6,nan,nan
-82.5,nan,nan
-82.4,nan,nan
-82.3,nan,nan
-82.2,nan,nan
-82.1,nan,nan
-82.0,nan,nan
-81.9,nan,nan
-81.8,nan,nan
-81.7,nan,nan
-81.6,nan,nan
-81.5,nan,nan
-81.4,nan,nan
-81.3,nan,nan
-81.2,nan,nan
-81.1,nan,nan
-81.0,nan,nan
-80.9,nan,nan
-80.8,nan,nan
-80.7,nan,nan
-80.6,nan,nan
-80.5,nan,nan
-80.4,nan,nan
-80.3,nan,nan
-80.2,nan,nan
-80.1,nan,nan
-80.0,nan,nan
-79.9,nan,nan
-79.8,nan,nan
-79.7,nan,nan
-79.6,nan,nan
-79.5,nan,nan
-79.4,nan,nan
-79.3,nan,nan
-79.2,nan,nan
-79.1,nan,nan
-79.0,nan,nan
-78.9,nan,nan
-78.8,nan,nan
-78.7,nan,nan
-78.6,nan,nan
-78.5,nan,nan
-78.4,nan,nan
-78.3,nan,nan
-78.2,nan,nan
-78.1,nan,nan
-78.0,nan,nan
-77.9,nan,nan
-77.8,nan,nan
-77.7,nan,nan
-77.6,nan,nan
-77.5,nan,nan
-77.4,nan,nan
-77.3,nan,nan
-77.2,nan,nan
-77.1,nan,nan
-77.0,nan,nan
-76.9,nan,nan
-76.8,nan,nan
-76.7,nan,nan
-76.6,nan,nan
-76.5,nan,nan
-76.4,nan,nan
-76.3,nan,nan
-76.2,nan,nan
-76.1,nan,nan
-76.0,nan,nan
-75.9,nan,nan
-75.8,nan,nan
-75.7,nan,nan
-75.6,nan,nan
-75.5,nan,nan
-75.4,nan,nan
-75.3,nan,nan
-75.2,0.35708293,0.010394203
-75.1,0.35436326,0.010286151
-75.0,0.35249946,0.010389134
-74.9,0.3504411,0.010350126
-74.8,0.34783444,0.0102743525
-74.7,0.34519744,0.01018282
-74.6,0.34258467,0.010082497
-74.5,0.34008956,0.009998253
-74.4,0.3377029,0.0099777775
-74.3,0.33540085,0.010012512
-74.2,0.33317855,0.010069888
-74.1,0.33094785,0.01018539
-74.0,0.3286625,0.0103123775
-73.9,0.32634518,0.010406916
-73.8,0.32406497,0.010500645
-73.7,0.32181874,0.010608993
-73.6,0.319587,0.010726785
-73.5,0.31740656,0.010853238
-73.4,0.31528318,0.011040726
-73.3,0.3131908,0.011260208
-73.2,0.31105998,0.011416449
-73.1,0.30882347,0.011471615
-73.0,0.30645722,0.011391943
-72.9,0.3040774,0.011265673
-72.8,0.3017159,0.011147204
-72.7,0.29938582,0.011044481
-72.6,0.29707527,0.010942846
-72.5,0.2947962,0.010848012
-72.4,0.29252702,0.010758132
-72.3,0.29026866,0.010671079
-72.2,0.28804493,0.010580789
-72.1,0.2858521,0.010508813
-72.0,0.2836786,0.010441048
-71.9,0.2815285,0.010364701
-71.8,0.27939868,0.010291745
-71.7,0.27728164,0.010212674
-71.6,0.27519074,0.010127056
-71.5,0.27310458,0.01005149
-71.4,0.27102807,0.009994488
-71.3,0.2689656,0.009932151
-71.2,0.2669225,0.009892641
-71.1,0.26489136,0.009865123
-71.0,0.2628697,0.009841098
-70.9,0.2608558,0.009830523
-70.8,0.25885433,0.009832717
-70.7,0.25686187,0.009829512
-70.6,0.25488275,0.009828137
-70.5,0.25289834,0.009837345
-70.4,0.25090912,0.009847513
-70.3,0.24892554,0.00986323
-70.2,0.24695338,0.009879512
-70.1,0.24497895,0.00989262
-70.0,0.24300414,0.0099104345
-69.9,0.24102974,0.0099419
-69.8,0.23905875,0.009970636
-69.7,0.23709306,0.009998258
-69.6,0.23512071,0.010020615
-69.5,0.23314124,0.0100322915
-69.4,0.23115753,0.010035441
-69.3,0.22917035,0.010029456
-69.2,0.22717193,0.010009322
-69.1,0.22516294,0.009981094
-69.0,0.22315435,0.009951587
-68.9,0.22115318,0.009908025
-68.8,0.2191514,0.009854125
-68.7,0.21715757,0.009801203
-68.6,0.21518563,0.009738173
-68.5,0.21322362,0.009682156
-68.4,0.21127465,0.009620655
-68.3,0.20933713,0.009554687
-68.2,0.2074135,0.009479481
-68.1,0.20550096,0.009387644
-68.0,0.20358773,0.009279648
-67.9,0.20168515,0.009186253
-67.8,0.19979204,0.009100156
-67.7,0.19790043,0.009000549
-67.6,0.19600703,0.008902648
-67.5,0.19411275,0.008814158
-67.4,0.19222441,0.008739482
-67.3,0.19033521,0.008685614
-67.2,0.18843137,0.008654006
-67.1,0.1865048,0.008642412
-67.0,0.18457039,0.008652364
-66.9,0.18264167,0.008677671
-66.8,0.18069081,0.008735547
-66.7,0.17872263,0.008804589
-66.6,0.17673524,0.008875158
-66.5,0.17472358,0.008953677
-66.4,0.17269172,0.009035733
-66.3,0.17062631,0.009102834
-66.2,0.16853559,0.009156504
