PC_Latitude,I/F,Error
-90.0,nan,nan
-89.9,nan,nan
-89.8,nan,nan
-89.7,nan,nan
-89.6,nan,nan
-89.5,nan,nan
-89.4,nan,nan
-89.3,nan,nan
-89.2,nan,nan
-89.1,nan,nan
-89.0,nan,nan
-88.9,nan,nan
-88.8,nan,nan
-88.7,nan,nan
-88.6,nan,nan
-88.5,nan,nan
-88.4,nan,nan
-88.3,nan,nan
-88.2,nan,nan
-88.1,nan,nan
-88.0,nan,nan
-87.9,nan,nan
-87.8,nan,nan
-87.7,nan,nan
-87.6,nan,nan
-87.5,nan,nan
-87.4,nan,nan
-87.3,nan,nan
-87.2,nan,nan
-87.1,nan,nan
-87.0,nan,nan
-86.9,nan,nan
-86.8,nan,nan
-86.7,nan,nan
-86.6,nan,nan
-86.5,nan,nan
-86.4,nan,nan
-86.3,nan,nan
-86.2,nan,nan
-86.1,nan,nan
-86.0,nan,nan
-85.9,nan,nan
-85.8,nan,nan
-85.7,nan,nan
-85.6,nan,nan
-85.5,nan,nan
-85.4,nan,nan
-85.3,nan,nan
-85.2,nan,nan
-85.1,nan,nan
-85.0,nan,nan
-84.9,nan,nan
-84.8,nan,nan
-84.7,nan,nan
-84.6,nan,nan
-84.5,nan,nan
-84.4,nan,nan
-84.3,nan,nan
-84.2,nan,nan
-84.1,nan,nan
-84.0,nan,nan
-83.9,nan,nan
-83.8,nan,nan
-83.7,nan,nan
-83.6,nan,nan
-83.5,nan,nan
-83.4,nan,nan
-83.3,nan,nan
-83.2,nan,nan
-83.1,nan,nan
-83.0,nan,nan
-82.9,nan,nan
-82.8,nan,nan
-82.7,nan,nan
-82.6,nan,nan
-82.5,nan,nan
-82.4,nan,nan
-82.3,nan,nan
-82.2,nan,nan
-82.1,nan,nan
-82.0,nan,nan
-81.9,nan,nan
-81.8,nan,nan
-81.7,nan,nan
-81.6,nan,nan
-81.5,nan,nan
-81.4,nan,nan
-81.3,nan,nan
-81.2,nan,nan
-81.1,nan,nan
-81.0,nan,nan
-80.9,nan,nan
-80.8,nan,nan
-80.7,nan,nan
-80.6,nan,nan
-80.5,nan,nan
-80.4,nan,nan
-80.3,nan,nan
-80.2,nan,nan
-80.1,nan,nan
-80.0,nan,nan
-79.9,nan,nan
-79.8,nan,nan
-79.7,nan,nan
-79.6,nan,nan
-79.5,nan,nan
-79.4,nan,nan
-79.3,nan,nan
-79.2,nan,nan
-79.1,nan,nan
-79.0,nan,nan
-78.9,nan,nan
-78.8,nan,nan
-78.7,nan,nan
-78.6,nan,nan
-78.5,nan,nan
-78.4,nan,nan
-78.3,nan,nan
-78.2,nan,nan
-78.1,nan,nan
-78.0,nan,nan
-77.9,nan,nan
-77.8,nan,nan
-77.7,nan,nan
-77.6,nan,nan
-77.5,nan,nan
-77.4,nan,nan
-77.3,nan,nan
-77.2,nan,nan
-77.1,nan,nan
-77.0,nan,nan
-76.9,nan,nan
-76.8,nan,nan
-76.7,nan,nan
-76.6,nan,nan
-76.5,nan,nan
-76.4,nan,nan
-76.3,nan,nan
-76.2,nan,nan
-76.1,nan,nan
-76.0,nan,nan
-75.9,nan,nan
-75.8,nan,nan
-75.7,nan,nan
-75.6,nan,nan
-75.5,nan,nan
-75.4,0.3257256,0.0031427795
-75.3,0.32485408,0.004027731
-75.2,0.323975,0.004908171
-75.1,0.32282677,0.005861182
-75.0,0.32146704,0.0069393646
-74.9,0.31999072,0.008033109
-74.8,0.31840292,0.00922605
-74.7,0.31674987,0.010391443
-74.6,0.31514096,0.01146001
-74.5,0.31371456,0.012441619
-74.4,0.31241605,0.013346956
-74.3,0.31119707,0.014215167
-74.2,0.30998382,0.015047499
-74.1,0.3087531,0.015866127
-74.0,0.30753374,0.016701685
-73.9,0.30633706,0.017518243
-73.8,0.30519474,0.018406589
-73.7,0.30404955,0.019311022
-73.6,0.30288967,0.02016492
-73.5,0.30171674,0.020996384
-73.4,0.3005338,0.021801474
-73.3,0.29936415,0.02263145
-73.2,0.2982091,0.023441775
-73.1,0.29706874,0.024269974
-73.0,0.29567644,0.024814602
-72.9,0.29400638,0.02501085
-72.8,0.29203352,0.024851069
-72.7,0.29001552,0.024638949
-72.6,0.28800088,0.024420142
-72.5,0.28599334,0.024212467
-72.4,0.28400418,0.024007825
-72.3,0.28204566,0.023805648
-72.2,0.28010324,0.023611855
-72.1,0.27815083,0.023432583
-72.0,0.2761839,0.023262415
-71.9,0.27423036,0.023091609
-71.8,0.27228782,0.022924963
-71.7,0.2703483,0.0227652
-71.6,0.26841977,0.02260451
-71.5,0.26649407,0.022453003
-71.4,0.26457807,0.022309216
-71.3,0.26267734,0.022162143
-71.2,0.26079065,0.022025172
-71.1,0.2589083,0.02189304
-71.0,0.25703976,0.02176206
-70.9,0.25518638,0.021635955
-70.8,0.25334722,0.021513795
-70.7,0.25151917,0.021387972
-70.6,0.24969041,0.02126378
-70.5,0.24786623,0.021139
-70.4,0.24605131,0.021008033
-70.3,0.24425241,0.02088139
-70.2,0.24245237,0.020752244
-70.1,0.24065113,0.020616768
-70.0,0.23885214,0.020477546
-69.9,0.23706433,0.020337697
-69.8,0.23528253,0.020189375
-69.7,0.23348807,0.020040255
-69.6,0.23168471,0.019892553
-69.5,0.22987603,0.019742973
-69.4,0.22808078,0.019586194
-69.3,0.22628863,0.01941738
-69.2,0.22449748,0.019239588
-69.1,0.22270788,0.019067548
-69.0,0.22092609,0.018894127
-68.9,0.21915774,0.018712174
-68.8,0.21739879,0.018522061
-68.7,0.21565287,0.018334497
-68.6,0.21391147,0.018155137
-68.5,0.21218523,0.017985595
-68.4,0.21047388,0.0178184
-68.3,0.20877774,0.01765785
-68.2,0.20709041,0.017504152
-68.1,0.20540933,0.017357381
-68.0,0.2037332,0.017211
-67.9,0.20206912,0.017068015
-67.8,0.20041378,0.016923083
-67.7,0.19875519,0.016784675
-67.6,0.19709158,0.016650286
-67.5,0.19543089,0.016514977
-67.4,0.19377129,0.016391847
-67.3,0.19211209,0.016284768
-67.2,0.1904502,0.016187115
-67.1,0.18877546,0.016104149
-67.0,0.18710747,0.016032906
-66.9,0.1854331,0.015974063
-66.8,0.18375029,0.015927121
-66.7,0.18206309,0.015883792
-66.6,0.18037781,0.015851364
-66.5,0.1786891,0.015824353
-66.4,0.17699395,0.015798502
-66.3,0.17528826,0.015780091
-66.2,0.1735785,0.01577795
