PC_Latitude,I/F,Error
-90.0,nan,nan
-89.9,nan,nan
-89.8,nan,nan
-89.7,nan,nan
-89.6,nan,nan
-89.5,nan,nan
-89.4,nan,nan
-89.3,nan,nan
-89.2,nan,nan
-89.1,nan,nan
-89.0,nan,nan
-88.9,nan,nan
-88.8,nan,nan
-88.7,nan,nan
-88.6,nan,nan
-88.5,nan,nan
-88.4,nan,nan
-88.3,nan,nan
-88.2,nan,nan
-88.1,nan,nan
-88.0,nan,nan
-87.9,nan,nan
-87.8,nan,nan
-87.7,nan,nan
-87.6,nan,nan
-87.5,nan,nan
-87.4,nan,nan
-87.3,nan,nan
-87.2,nan,nan
-87.1,nan,nan
-87.0,nan,nan
-86.9,nan,nan
-86.8,nan,nan
-86.7,nan,nan
-86.6,nan,nan
-86.5,nan,nan
-86.4,nan,nan
-86.3,nan,nan
-86.2,nan,nan
-86.1,nan,nan
-86.0,nan,nan
-85.9,nan,nan
-85.8,nan,nan
-85.7,nan,nan
-85.6,nan,nan
-85.5,nan,nan
-85.4,nan,nan
-85.3,nan,nan
-85.2,nan,nan
-85.1,nan,nan
-85.0,nan,nan
-84.9,nan,nan
-84.8,nan,nan
-84.7,nan,nan
-84.6,nan,nan
-84.5,nan,nan
-84.4,nan,nan
-84.3,nan,nan
-84.2,nan,nan
-84.1,nan,nan
-84.0,nan,nan
-83.9,nan,nan
-83.8,nan,nan
-83.7,nan,nan
-83.6,nan,nan
-83.5,nan,nan
-83.4,nan,nan
-83.3,nan,nan
-83.2,nan,nan
-83.1,nan,nan
-83.0,nan,nan
-82.9,nan,nan
-82.8,nan,nan
-82.7,nan,nan
-82.6,nan,nan
-82.5,nan,nan
-82.4,nan,nan
-82.3,nan,nan
-82.2,nan,nan
-82.1,nan,nan
-82.0,nan,nan
-81.9,nan,nan
-81.8,nan,nan
-81.7,nan,nan
-81.6,nan,nan
-81.5,nan,nan
-81.4,nan,nan
-81.3,nan,nan
-81.2,nan,nan
-81.1,nan,nan
-81.0,nan,nan
-80.9,nan,nan
-80.8,nan,nan
-80.7,nan,nan
-80.6,nan,nan
-80.5,nan,nan
-80.4,nan,nan
-80.3,nan,nan
-80.2,nan,nan
-80.1,nan,nan
-80.0,nan,nan
-79.9,nan,nan
-79.8,nan,nan
-79.7,nan,nan
-79.6,nan,nan
-79.5,nan,nan
-79.4,nan,nan
-79.3,nan,nan
-79.2,nan,nan
-79.1,nan,nan
-79.0,nan,nan
-78.9,nan,nan
-78.8,nan,nan
-78.7,nan,nan
-78.6,nan,nan
-78.5,nan,nan
-78.4,nan,nan
-78.3,nan,nan
-78.2,nan,nan
-78.1,nan,nan
-78.0,nan,nan
-77.9,nan,nan
-77.8,0.34712005,0.015122454
-77.7,0.34552696,0.015239249
-77.6,0.34388825,0.015502329
-77.5,0.3413717,0.01573243
-77.4,0.33900464,0.015991807
-77.3,0.33690268,0.016261363
-77.2,0.33497408,0.016571326
-77.1,0.33310306,0.016932746
-77.0,0.33128887,0.017280877
-76.9,0.32946777,0.017680489
-76.8,0.32742247,0.017938066
-76.7,0.325147,0.018055104
-76.6,0.32270432,0.017973946
-76.5,0.32029408,0.017910078
-76.4,0.31790313,0.017851513
-76.3,0.31556842,0.017792603
-76.2,0.31326646,0.017749874
-76.1,0.31098717,0.017720742
-76.0,0.3087236,0.01767497
-75.9,0.30647114,0.01763871
-75.8,0.30423895,0.01760775
-75.7,0.30201292,0.017584233
-75.6,0.2998299,0.017538115
-75.5,0.29765517,0.017480228
-75.4,0.2954842,0.01740367
-75.3,0.29334694,0.017311793
-75.2,0.29123566,0.01723438
-75.1,0.289134,0.017151328
-75.0,0.28704938,0.017052818
-74.9,0.28497395,0.016948443
-74.8,0.2829196,0.016849756
-74.7,0.28088915,0.016744703
-74.6,0.27886313,0.016627546
-74.5,0.27684405,0.016499422
-74.4,0.27482045,0.016357398
-74.3,0.27284366,0.016219052
-74.2,0.27087742,0.016082
-74.1,0.26891997,0.015942378
-74.0,0.26697925,0.015787765
-73.9,0.26505965,0.015641715
-73.8,0.2631638,0.015500785
-73.7,0.26129794,0.01535438
-73.6,0.25946057,0.015212018
-73.5,0.2576414,0.01506852
-73.4,0.25584814,0.014922585
-73.3,0.25407067,0.01476048
-73.2,0.25231072,0.01458493
-73.1,0.2505654,0.01438848
-73.0,0.24883357,0.0142024215
-72.9,0.24710485,0.014003811
-72.8,0.24537732,0.013786903
-72.7,0.2436572,0.013563381
-72.6,0.24194913,0.013347144
-72.5,0.24025479,0.0131258005
-72.4,0.23857175,0.012907147
-72.3,0.23690331,0.012693985
-72.2,0.23524918,0.012489402
-72.1,0.23360993,0.012299572
-72.0,0.23198602,0.0121208895
-71.9,0.2303786,0.011947582
-71.8,0.22878157,0.011784655
-71.7,0.22718306,0.011622849
-71.6,0.22558083,0.011452774
-71.5,0.22398438,0.011286373
-71.4,0.22239909,0.01111908
-71.3,0.22081646,0.010939087
-71.2,0.21923886,0.01075173
-71.1,0.2176714,0.010565015
-71.0,0.21611822,0.010382331
-70.9,0.21457991,0.010208483
-70.8,0.21305525,0.010040024
-70.7,0.2115396,0.009877182
-70.6,0.21002762,0.00972235
-70.5,0.20852083,0.009569865
-70.4,0.20701554,0.009421522
-70.3,0.20551082,0.009290171
-70.2,0.20400204,0.0091706915
-70.1,0.20248094,0.009058519
-70.0,0.20096678,0.008958994
-69.9,0.19946013,0.008855738
-69.8,0.1979467,0.008763929
-69.7,0.19643593,0.008676048
-69.6,0.1949358,0.008594141
-69.5,0.19344793,0.008526015
-69.4,0.19197355,0.008471549
-69.3,0.1905038,0.008423567
-69.2,0.18904357,0.008386115
-69.1,0.18759312,0.008352914
-69.0,0.18615353,0.008333777
-68.9,0.18473019,0.008327373
-68.8,0.18333,0.008329952
-68.7,0.18193659,0.0083514005
-68.6,0.18055423,0.008394073
-68.5,0.17917864,0.0084479535
-68.4,0.17780831,0.008527951
-68.3,0.17643656,0.008629354
-68.2,0.17505746,0.008755168
-68.1,0.17367455,0.008904407
-68.0,0.17229101,0.0090752365
-67.9,0.17089547,0.009263678
-67.8,0.1694934,0.009465857
-67.7,0.16808999,0.0096677495
-67.6,0.16667657,0.00987128
-67.5,0.16526034,0.010067946
-67.4,0.16383126,0.010261905
-67.3,0.16238835,0.01045269
-67.2,0.1609398,0.010633394
-67.1,0.15946609,0.010801878
