PC_Latitude,I/F,Error
-90.0,nan,nan
-89.9,nan,nan
-89.8,nan,nan
-89.7,nan,nan
-89.6,nan,nan
-89.5,nan,nan
-89.4,nan,nan
-89.3,nan,nan
-89.2,nan,nan
-89.1,nan,nan
-89.0,nan,nan
-88.9,nan,nan
-88.8,nan,nan
-88.7,nan,nan
-88.6,nan,nan
-88.5,nan,nan
-88.4,nan,nan
-88.3,nan,nan
-88.2,nan,nan
-88.1,nan,nan
-88.0,nan,nan
-87.9,nan,nan
-87.8,nan,nan
-87.7,nan,nan
-87.6,nan,nan
-87.5,nan,nan
-87.4,nan,nan
-87.3,nan,nan
-87.2,nan,nan
-87.1,nan,nan
-87.0,nan,nan
-86.9,nan,nan
-86.8,nan,nan
-86.7,nan,nan
-86.6,nan,nan
-86.5,nan,nan
-86.4,nan,nan
-86.3,nan,nan
-86.2,nan,nan
-86.1,nan,nan
-86.0,nan,nan
-85.9,nan,nan
-85.8,nan,nan
-85.7,nan,nan
-85.6,nan,nan
-85.5,nan,nan
-85.4,nan,nan
-85.3,nan,nan
-85.2,nan,nan
-85.1,nan,nan
-85.0,nan,nan
-84.9,nan,nan
-84.8,nan,nan
-84.7,nan,nan
-84.6,nan,nan
-84.5,nan,nan
-84.4,nan,nan
-84.3,nan,nan
-84.2,nan,nan
-84.1,nan,nan
-84.0,nan,nan
-83.9,nan,nan
-83.8,nan,nan
-83.7,nan,nan
-83.6,nan,nan
-83.5,nan,nan
-83.4,nan,nan
-83.3,nan,nan
-83.2,nan,nan
-83.1,nan,nan
-83.0,nan,nan
-82.9,nan,nan
-82.8,nan,nan
-82.7,nan,nan
-82.6,nan,nan
-82.5,nan,nan
-82.4,nan,nan
-82.3,nan,nan
-82.2,nan,nan
-82.1,nan,nan
-82.0,nan,nan
-81.9,nan,nan
-81.8,nan,nan
-81.7,nan,nan
-81.6,nan,nan
-81.5,nan,nan
-81.4,nan,nan
-81.3,nan,nan
-81.2,nan,nan
-81.1,nan,nan
-81.0,nan,nan
-80.9,nan,nan
-80.8,nan,nan
-80.7,nan,nan
-80.6,nan,nan
-80.5,nan,nan
-80.4,nan,nan
-80.3,nan,nan
-80.2,nan,nan
-80.1,nan,nan
-80.0,nan,nan
-79.9,nan,nan
-79.8,nan,nan
-79.7,nan,nan
-79.6,nan,nan
-79.5,nan,nan
-79.4,nan,nan
-79.3,nan,nan
-79.2,nan,nan
-79.1,nan,nan
-79.0,nan,nan
-78.9,nan,nan
-78.8,nan,nan
-78.7,nan,nan
-78.6,nan,nan
-78.5,nan,nan
-78.4,nan,nan
-78.3,nan,nan
-78.2,nan,nan
-78.1,nan,nan
-78.0,nan,nan
-77.9,nan,nan
-77.8,nan,nan
-77.7,nan,nan
-77.6,nan,nan
-77.5,nan,nan
-77.4,nan,nan
-77.3,nan,nan
-77.2,nan,nan
-77.1,nan,nan
-77.0,nan,nan
-76.9,nan,nan
-76.8,nan,nan
-76.7,nan,nan
-76.6,nan,nan
-76.5,nan,nan
-76.4,nan,nan
-76.3,nan,nan
-76.2,nan,nan
-76.1,0.33445734,0.003298713
-76.0,0.33293056,0.0040901653
-75.9,0.3314302,0.004835882
-75.8,0.3291616,0.0054999194
-75.7,0.32699078,0.006085894
-75.6,0.32502946,0.0065929675
-75.5,0.32315108,0.0071634525
-75.4,0.32128638,0.007749082
-75.3,0.31938744,0.00827577
-75.2,0.3175037,0.008753914
-75.1,0.3156608,0.00926323
-75.0,0.31383944,0.0098128505
-74.9,0.312062,0.010341835
-74.8,0.3102527,0.010815269
-74.7,0.30840296,0.011254801
-74.6,0.30653197,0.011643328
-74.5,0.30466056,0.0120467795
-74.4,0.30281678,0.0124663925
-74.3,0.30099827,0.012870393
-74.2,0.2990774,0.013163889
-74.1,0.29695264,0.013259949
-74.0,0.29464018,0.013173385
-73.9,0.29230052,0.013006682
-73.8,0.28999397,0.012860672
-73.7,0.28769606,0.01271242
-73.6,0.2854191,0.012542169
-73.5,0.28312644,0.012358022
-73.4,0.28083545,0.012171617
-73.3,0.27856198,0.011974252
-73.2,0.27632254,0.011798755
-73.1,0.27411842,0.01163762
-73.0,0.2719491,0.011461831
-72.9,0.26981148,0.011295711
-72.8,0.2677002,0.011131486
-72.7,0.26561192,0.010972912
-72.6,0.26356137,0.010824169
-72.5,0.26155296,0.010691591
-72.4,0.25958303,0.010574315
-72.3,0.2576699,0.0104606645
-72.2,0.2557842,0.010361802
-72.1,0.25391564,0.010272634
-72.0,0.25206515,0.010186208
-71.9,0.25023264,0.010114541
-71.8,0.24842118,0.010047253
-71.7,0.24663383,0.00998509
-71.6,0.24486116,0.009927009
-71.5,0.24308796,0.009875511
-71.4,0.2413143,0.009819021
-71.3,0.2395462,0.0097754095
-71.2,0.23779297,0.0097389305
-71.1,0.23605177,0.009706866
-71.0,0.23430638,0.009686672
-70.9,0.232558,0.009672514
-70.8,0.23081456,0.009663064
-70.7,0.22908531,0.009662569
-70.6,0.22736119,0.009654904
-70.5,0.22563364,0.009636033
-70.4,0.22391394,0.009622271
-70.3,0.22220907,0.009617251
-70.2,0.22051698,0.0096135065
-70.1,0.2188305,0.009616197
-70.0,0.21714294,0.009624025
-69.9,0.2154607,0.009644961
-69.8,0.21378979,0.009685311
-69.7,0.21214035,0.009743679
-69.6,0.21049848,0.0098266145
-69.5,0.20886596,0.009931671
-69.4,0.2072442,0.010054699
-69.3,0.20563914,0.010191241
-69.2,0.20405756,0.010349462
-69.1,0.2024967,0.010516764
-69.0,0.20094348,0.010705884
-68.9,0.1994016,0.0108993035
-68.8,0.19788104,0.011091605
-68.7,0.19637154,0.011292557
-68.6,0.1948795,0.011500146
-68.5,0.1933908,0.011702021
-68.4,0.19192228,0.011900664
-68.3,0.19047391,0.012098264
-68.2,0.18904376,0.012294704
-68.1,0.18763208,0.012494395
-68.0,0.18624918,0.012689557
-67.9,0.18489893,0.01288919
-67.8,0.18357699,0.013088626
-67.7,0.1822793,0.01328183
-67.6,0.18098766,0.013475277
-67.5,0.1797155,0.013667492
-67.4,0.17845626,0.013854226
-67.3,0.17720586,0.014038475
-67.2,0.17596096,0.014215471
-67.1,0.17471752,0.014391939
-67.0,0.17347383,0.014564461
-66.9,0.17223178,0.014726056
-66.8,0.17097707,0.014876222
-66.7,0.1697157,0.015020179
-66.6,0.16845293,0.015154309
-66.5,0.16716622,0.0152739035
