PC_Latitude,I/F,Error
-90.0,nan,nan
-89.9,nan,nan
-89.8,nan,nan
-89.7,nan,nan
-89.6,nan,nan
-89.5,nan,nan
-89.4,nan,nan
-89.3,nan,nan
-89.2,nan,nan
-89.1,nan,nan
-89.0,nan,nan
-88.9,nan,nan
-88.8,nan,nan
-88.7,nan,nan
-88.6,nan,nan
-88.5,nan,nan
-88.4,nan,nan
-88.3,nan,nan
-88.2,nan,nan
-88.1,nan,nan
-88.0,nan,nan
-87.9,nan,nan
-87.8,nan,nan
-87.7,nan,nan
-87.6,nan,nan
-87.5,nan,nan
-87.4,nan,nan
-87.3,nan,nan
-87.2,nan,nan
-87.1,nan,nan
-87.0,nan,nan
-86.9,nan,nan
-86.8,nan,nan
-86.7,nan,nan
-86.6,nan,nan
-86.5,nan,nan
-86.4,nan,nan
-86.3,nan,nan
-86.2,nan,nan
-86.1,nan,nan
-86.0,nan,nan
-85.9,nan,nan
-85.8,nan,nan
-85.7,nan,nan
-85.6,nan,nan
-85.5,nan,nan
-85.4,nan,nan
-85.3,nan,nan
-85.2,nan,nan
-85.1,nan,nan
-85.0,nan,nan
-84.9,nan,nan
-84.8,nan,nan
-84.7,nan,nan
-84.6,nan,nan
-84.5,nan,nan
-84.4,nan,nan
-84.3,nan,nan
-84.2,nan,nan
-84.1,nan,nan
-84.0,nan,nan
-83.9,nan,nan
-83.8,nan,nan
-83.7,nan,nan
-83.6,nan,nan
-83.5,nan,nan
-83.4,nan,nan
-83.3,nan,nan
-83.2,nan,nan
-83.1,nan,nan
-83.0,nan,nan
-82.9,nan,nan
-82.8,nan,nan
-82.7,nan,nan
-82.6,nan,nan
-82.5,nan,nan
-82.4,nan,nan
-82.3,nan,nan
-82.2,nan,nan
-82.1,nan,nan
-82.0,nan,nan
-81.9,nan,nan
-81.8,nan,nan
-81.7,nan,nan
-81.6,nan,nan
-81.5,nan,nan
-81.4,nan,nan
-81.3,0.39281672,0.0091777425
-81.2,0.3921164,0.009407318
-81.1,0.39109856,0.0096283
-81.0,0.38988858,0.009933129
-80.9,0.38836834,0.010300654
-80.8,0.38678393,0.010779716
-80.7,0.3850024,0.011301964
-80.6,0.38285863,0.0117118405
-80.5,0.380403,0.011936122
-80.4,0.37773135,0.012031995
-80.3,0.3750521,0.012115353
-80.2,0.37242976,0.012178673
-80.1,0.36983505,0.0122702895
-80.0,0.36726764,0.012379747
-79.9,0.3647049,0.0124819735
-79.8,0.36222392,0.012568748
-79.7,0.35978317,0.012669234
-79.6,0.35736564,0.012769366
-79.5,0.3550055,0.012845331
-79.4,0.35267434,0.012935858
-79.3,0.35037127,0.013037017
-79.2,0.3481076,0.013125094
-79.1,0.34585547,0.013223595
-79.0,0.34361368,0.013328009
-78.9,0.34136727,0.01341958
-78.8,0.3391794,0.01350821
-78.7,0.33700702,0.0136089
-78.6,0.33481258,0.013702083
-78.5,0.33262274,0.013765408
-78.4,0.33042747,0.01381993
-78.3,0.3282543,0.013886587
-78.2,0.3260914,0.013952305
-78.1,0.32390317,0.014036201
-78.0,0.32168582,0.014123641
-77.9,0.31947103,0.014195769
-77.8,0.31728107,0.014293406
-77.7,0.31508797,0.014411619
-77.6,0.31287822,0.014522329
-77.5,0.31066227,0.014629551
-77.4,0.30845618,0.014737842
-77.3,0.3062507,0.0148632685
-77.2,0.3040528,0.014997771
-77.1,0.30184123,0.015139537
-77.0,0.29962298,0.015274512
-76.9,0.29743078,0.015410866
-76.8,0.29525533,0.015549962
-76.7,0.29308683,0.015663734
-76.6,0.29093564,0.015748763
-76.5,0.2888024,0.015827766
-76.4,0.28668442,0.015907984
-76.3,0.28457826,0.015963946
-76.2,0.28248158,0.01600141
-76.1,0.2803997,0.016024193
-76.0,0.27833483,0.016037235
-75.9,0.27628043,0.016032739
-75.8,0.27423602,0.015997902
-75.7,0.2722061,0.015934419
-75.6,0.27019408,0.01586954
-75.5,0.26818937,0.015796991
-75.4,0.2661853,0.01570041
-75.3,0.26418778,0.015593779
-75.2,0.26220444,0.015480066
-75.1,0.26023492,0.01535958
-75.0,0.25827637,0.015239806
-74.9,0.2563289,0.015117467
-74.8,0.25439695,0.014994633
-74.7,0.25248697,0.014865519
-74.6,0.25060022,0.014727696
-74.5,0.24873005,0.014576292
-74.4,0.24688157,0.0144334715
-74.3,0.24505337,0.014289634
-74.2,0.24324517,0.014146813
-74.1,0.2414553,0.0140092615
-74.0,0.23968779,0.013877408
-73.9,0.23793991,0.013751825
-73.8,0.23621969,0.0136376005
-73.7,0.23452778,0.013528785
-73.6,0.23285417,0.013421265
-73.5,0.23120905,0.013319938
-73.4,0.22959504,0.013218666
-73.3,0.2279919,0.013130755
-73.2,0.2264,0.013040162
-73.1,0.22481783,0.01294778
-73.0,0.22324714,0.012860223
-72.9,0.22168808,0.012778852
-72.8,0.22012863,0.012692998
-72.7,0.21857414,0.012610368
-72.6,0.21703249,0.012530624
-72.5,0.21549693,0.012446452
-72.4,0.21397626,0.012358427
-72.3,0.21247195,0.012258553
-72.2,0.21097092,0.012163402
-72.1,0.20948122,0.012069045
-72.0,0.20800267,0.01196672
-71.9,0.20653021,0.011866064
-71.8,0.20507102,0.011767733
-71.7,0.20361605,0.011670182
-71.6,0.20217207,0.011578105
-71.5,0.20074604,0.011478669
-71.4,0.19932875,0.011381113
-71.3,0.19792895,0.011286338
-71.2,0.1965459,0.011194652
-71.1,0.19516587,0.011113349
-71.0,0.19379723,0.011037145
-70.9,0.19243182,0.010968567
-70.8,0.1910645,0.010907728
-70.7,0.18970038,0.010849051
-70.6,0.18832633,0.0107973665
-70.5,0.18695407,0.010747934
-70.4,0.18558213,0.010691165
-70.3,0.18420373,0.010632081
-70.2,0.1828309,0.010574447
-70.1,0.18145825,0.0105154645
-70.0,0.18009473,0.010456599
-69.9,0.1787465,0.010395326
-69.8,0.17739761,0.010343183
-69.7,0.17606026,0.010291933
-69.6,0.17473224,0.010243062
-69.5,0.17341945,0.010195185
-69.4,0.172127,0.010142634
-69.3,0.17084168,0.010097475
-69.2,0.16957556,0.010051308
-69.1,0.1683174,0.0100046415
-69.0,0.16707642,0.009955586
-68.9,0.16585591,0.0098915845
-68.8,0.16464092,0.009825579
-68.7,0.16344072,0.009744077
-68.6,0.16224854,0.009652493
-68.5,0.16106613,0.009544351
-68.4,0.1598983,0.009417445
-68.3,0.15872724,0.009281758
