PC_Latitude,I/F,Error
-90.0,nan,nan
-89.9,nan,nan
-89.8,nan,nan
-89.7,nan,nan
-89.6,nan,nan
-89.5,nan,nan
-89.4,nan,nan
-89.3,nan,nan
-89.2,nan,nan
-89.1,nan,nan
-89.0,nan,nan
-88.9,nan,nan
-88.8,nan,nan
-88.7,nan,nan
-88.6,nan,nan
-88.5,nan,nan
-88.4,nan,nan
-88.3,nan,nan
-88.2,nan,nan
-88.1,nan,nan
-88.0,nan,nan
-87.9,nan,nan
-87.8,nan,nan
-87.7,nan,nan
-87.6,nan,nan
-87.5,nan,nan
-87.4,nan,nan
-87.3,nan,nan
-87.2,nan,nan
-87.1,nan,nan
-87.0,nan,nan
-86.9,nan,nan
-86.8,nan,nan
-86.7,nan,nan
-86.6,nan,nan
-86.5,nan,nan
-86.4,nan,nan
-86.3,nan,nan
-86.2,nan,nan
-86.1,nan,nan
-86.0,nan,nan
-85.9,nan,nan
-85.8,nan,nan
-85.7,nan,nan
-85.6,nan,nan
-85.5,nan,nan
-85.4,nan,nan
-85.3,nan,nan
-85.2,nan,nan
-85.1,nan,nan
-85.0,nan,nan
-84.9,nan,nan
-84.8,nan,nan
-84.7,nan,nan
-84.6,nan,nan
-84.5,nan,nan
-84.4,nan,nan
-84.3,nan,nan
-84.2,nan,nan
-84.1,nan,nan
-84.0,nan,nan
-83.9,nan,nan
-83.8,nan,nan
-83.7,nan,nan
-83.6,nan,nan
-83.5,nan,nan
-83.4,nan,nan
-83.3,nan,nan
-83.2,nan,nan
-83.1,nan,nan
-83.0,nan,nan
-82.9,nan,nan
-82.8,nan,nan
-82.7,nan,nan
-82.6,nan,nan
-82.5,nan,nan
-82.4,nan,nan
-82.3,nan,nan
-82.2,nan,nan
-82.1,nan,nan
-82.0,nan,nan
-81.9,nan,nan
-81.8,nan,nan
-81.7,nan,nan
-81.6,nan,nan
-81.5,nan,nan
-81.4,nan,nan
-81.3,nan,nan
-81.2,nan,nan
-81.1,0.35222462,0.006253605
-81.0,0.35125265,0.0064306636
-80.9,0.35011226,0.006555091
-80.8,0.3482544,0.006716864
-80.7,0.346177,0.006869571
-80.6,0.34416226,0.007135898
-80.5,0.3421062,0.0075113475
-80.4,0.34002328,0.007907551
-80.3,0.33796793,0.008291104
-80.2,0.33600256,0.008735877
-80.1,0.33409312,0.009245505
-80.0,0.3322059,0.0097715445
-79.9,0.33036882,0.010263344
-79.8,0.3285481,0.010778754
-79.7,0.32657915,0.011165017
-79.6,0.32447815,0.011370491
-79.5,0.32221657,0.011384751
-79.4,0.31996822,0.011390717
-79.3,0.31772077,0.011379465
-79.2,0.31549984,0.011340782
-79.1,0.31328872,0.011290204
-79.0,0.31109077,0.01123616
-78.9,0.3089481,0.011175386
-78.8,0.3068295,0.011132901
-78.7,0.30471632,0.011092883
-78.6,0.30262405,0.01102717
-78.5,0.30054244,0.010963158
-78.4,0.2984812,0.010904948
-78.3,0.29644778,0.010833256
-78.2,0.2944236,0.010785769
-78.1,0.29239947,0.010757774
-78.0,0.29036278,0.010736277
-77.9,0.28836474,0.010712684
-77.8,0.2863896,0.010703793
-77.7,0.28442186,0.010701109
-77.6,0.2824634,0.01069548
-77.5,0.2805011,0.010694193
-77.4,0.27854097,0.010687515
-77.3,0.27660644,0.010673316
-77.2,0.27468598,0.01067267
-77.1,0.27276716,0.010675384
-77.0,0.27085754,0.010673621
-76.9,0.26896128,0.0106819775
-76.8,0.26708475,0.0106999865
-76.7,0.2652317,0.010714256
-76.6,0.26338908,0.010743843
-76.5,0.2615584,0.01078042
-76.4,0.25974315,0.010808308
-76.3,0.25795457,0.010849637
-76.2,0.25617605,0.01089702
-76.1,0.2543983,0.0109241465
-76.0,0.25261322,0.010937071
-75.9,0.2508315,0.010932427
-75.8,0.24906655,0.010917094
-75.7,0.24731869,0.010905414
-75.6,0.24557993,0.010890284
-75.5,0.24384186,0.010851406
-75.4,0.24211231,0.010811438
-75.3,0.24039695,0.010776624
-75.2,0.23869762,0.010731637
-75.1,0.237023,0.010695203
-75.0,0.23537222,0.010663438
-74.9,0.2337475,0.010634201
-74.8,0.23212998,0.010609473
-74.7,0.23051456,0.010575565
-74.6,0.22889435,0.010514232
-74.5,0.22728263,0.01044586
-74.4,0.22568154,0.010383066
-74.3,0.22408451,0.010319174
-74.2,0.2224962,0.010261698
-74.1,0.2209218,0.010204814
-74.0,0.21936493,0.010150065
-73.9,0.21781681,0.010106398
-73.8,0.21628027,0.010061384
-73.7,0.21474834,0.010004207
-73.6,0.2132354,0.009947241
-73.5,0.211737,0.009894631
-73.4,0.2102419,0.009839647
-73.3,0.20875482,0.009789198
-73.2,0.20727825,0.009739468
-73.1,0.20581187,0.009693874
-73.0,0.2043603,0.009656246
-72.9,0.20292449,0.009623349
-72.8,0.20149456,0.009607454
-72.7,0.20007977,0.009595548
-72.6,0.19868556,0.009577127
-72.5,0.19730185,0.0095641315
-72.4,0.19593695,0.009560744
-72.3,0.1945942,0.009548726
-72.2,0.19327784,0.00952967
-72.1,0.1919871,0.0094979415
-72.0,0.19070818,0.009467562
-71.9,0.18945664,0.0094386665
-71.8,0.18823017,0.00940053
-71.7,0.18701564,0.009359901
-71.6,0.18581145,0.009317527
-71.5,0.18463269,0.009265597
-71.4,0.1834737,0.009214403
-71.3,0.18233816,0.009160855
-71.2,0.18121271,0.009111079
-71.1,0.18010128,0.009059334
-71.0,0.17901424,0.009002189
-70.9,0.17793417,0.008948978
-70.8,0.17686485,0.008898266
-70.7,0.17579983,0.00883745
-70.6,0.17473002,0.008772251
-70.5,0.173667,0.008702472
-70.4,0.1726095,0.008632617
-70.3,0.17156722,0.008563779
-70.2,0.17054628,0.008491829
-70.1,0.16952819,0.008431088
-70.0,0.1685278,0.008371578
-69.9,0.16753426,0.008311166
-69.8,0.1665499,0.008256275
-69.7,0.16558288,0.008207003
-69.6,0.16462575,0.00817383
-69.5,0.16368756,0.008154484
-69.4,0.16274877,0.008149178
-69.3,0.1618111,0.00815709
-69.2,0.16088288,0.0081721665
-69.1,0.15996215,0.008201555
-69.0,0.1590395,0.008240099
-68.9,0.15811303,0.008282645
-68.8,0.15717812,0.0083316155
-68.7,0.15625247,0.008385367
-68.6,0.15532166,0.008444517
-68.5,0.1543939,0.008504352
-68.4,0.1534731,0.008558356
-68.3,0.15256187,0.008607921
