     Lat(Pc)      Lat(Pg)       U(m/s)      Sigma_U     Sigma_Lt   Npt
      -29.98       -33.41        -3.92         7.01         0.13    44
      -29.50       -32.90       -13.35         7.03         0.14    54
      -29.03       -32.40       -18.48         4.77         0.13    52
      -28.52       -31.86       -13.87         6.14         0.15    48
      -28.00       -31.30        -6.93         7.00         0.14    59
      -27.52       -30.79        -2.88         7.30         0.14    70
      -27.01       -30.24         7.09         5.99         0.13    60
      -26.48       -29.67        16.13         6.49         0.13    53
      -25.98       -29.13        22.68         7.50         0.15    79
      -25.50       -28.61        28.45         6.63         0.15    77
      -24.99       -28.06        32.15         8.27         0.15    92
      -24.50       -27.52        34.02         6.01         0.14    85
      -23.99       -26.97        35.90         5.46         0.14    92
      -23.49       -26.43        36.74         5.43         0.14    92
      -23.01       -25.90        36.48         6.38         0.15    84
      -22.49       -25.33        38.54         5.98         0.14    76
      -21.99       -24.78        29.61         7.64         0.15    86
      -21.50       -24.25        20.30         8.07         0.14    75
      -20.99       -23.69        11.79         9.88         0.15    82
      -20.50       -23.14         3.56        10.68         0.14   101
      -19.99       -22.59        -6.74        10.82         0.14   100
      -19.49       -22.03       -11.67        15.79         0.14    84
      -18.99       -21.49       -22.54        11.85         0.15   116
      -18.49       -20.93       -30.82        15.47         0.14   100
      -18.01       -20.40       -40.48        15.25         0.14   103
      -17.50       -19.83       -47.95        15.09         0.14    95
      -17.00       -19.27       -57.20        15.87         0.15    78
      -16.48       -18.69       -57.15        11.99         0.14    73
      -15.99       -18.15       -51.88        12.53         0.14    68
      -15.54       -17.64       -41.06         7.87         0.13    58
      -14.96       -17.00       -25.02        12.62         0.13    66
      -14.48       -16.45        -9.37        17.56         0.15    60
      -13.97       -15.88        -1.53        20.42         0.13    77
      -13.49       -15.34        14.75        12.92         0.14   100
      -13.01       -14.80        23.50        16.53         0.15    86
      -12.50       -14.22        27.31        13.60         0.13    81
      -11.97       -13.63        30.25        10.60         0.14    79
      -11.47       -13.07        34.37        10.12         0.14    74
      -10.99       -12.52        37.67         6.67         0.14    93
      -10.48       -11.94        42.74        19.48         0.14    89
       -9.98       -11.37        45.72         9.48         0.14   109
       -9.51       -10.84        51.64        12.38         0.14   100
       -8.98       -10.25        56.39        12.90         0.15    65
       -8.50        -9.70        63.99        12.81         0.15    88
       -8.00        -9.13        80.92        21.93         0.14    91
       -7.49        -8.55       110.54        24.82         0.15   124
       -6.97        -7.96       116.47        17.85         0.15   136
       -6.48        -7.40       124.03        11.85         0.14   161
       -5.99        -6.84       133.04        13.58         0.14   173
       -5.47        -6.25       109.26        19.14         0.14   171
       -4.98        -5.70       101.48        21.84         0.14   175
       -4.50        -5.14        92.73        19.40         0.14   129
       -4.01        -4.58        80.45        26.59         0.14   138
       -3.48        -3.98        69.62        22.77         0.15   116
       -3.02        -3.45        62.93        24.13         0.14    88
       -2.49        -2.85        60.91        32.54         0.14    58
       -1.96        -2.25        81.00        31.34         0.13    74
       -1.52        -1.74       101.97        26.80         0.14    70
       -0.97        -1.11        74.95        32.57         0.13    50
       -0.50        -0.57        79.80        31.80         0.14    61
        0.04         0.04        80.71        38.70         0.13    54
        0.50         0.57        98.94        30.45         0.15    58
        1.01         1.15        69.43        22.65         0.15    64
        1.48         1.69        61.14        19.16         0.14    78
        1.99         2.28        52.18        23.86         0.15    66
        2.50         2.86        58.43        31.28         0.14    79
        2.98         3.41        57.43        26.79         0.13    79
        3.52         4.02        54.96        24.09         0.14    85
        3.99         4.56        48.66        21.44         0.14    98
        4.50         5.14        44.45        17.43         0.14   128
        4.99         5.70        48.21        19.83         0.14   124
        5.47         6.25        59.70        28.01         0.14   126
        5.98         6.83        64.83        18.70         0.14   120
        6.49         7.41        88.71        26.70         0.14   119
        6.99         7.98        88.02        22.16         0.15    93
        7.49         8.55        92.06        17.21         0.14    96
        8.01         9.14        85.94        14.22         0.14    79
        8.50         9.70        78.47        13.31         0.14   115
        9.00        10.27        75.04        19.16         0.15   121
        9.48        10.81        64.27        16.54         0.14   146
       10.01        11.41        47.23        10.78         0.15   137
       10.47        11.94        39.85         7.23         0.14   150
       10.99        12.52        30.25         7.02         0.14   137
       11.50        13.10        22.30         8.16         0.14   120
       12.00        13.66        12.35         8.53         0.14   118
       12.49        14.21         6.43         8.55         0.14   112
       13.01        14.80        -2.80         8.81         0.14   123
       13.49        15.34        -5.28         9.46         0.14   101
       13.98        15.90       -10.95        10.47         0.14   118
       14.50        16.47       -16.81        12.44         0.15   132
       15.00        17.04       -22.28         8.23         0.15   161
       15.50        17.59       -20.68         6.91         0.14   188
       15.99        18.14       -17.01         7.96         0.14   172
       16.48        18.70        -5.98        10.88         0.14   154
       16.98        19.25         4.65        14.54         0.14   155
       17.49        19.82        21.38        14.67         0.15   196
       17.98        20.36        35.62        14.44         0.14   168
       18.50        20.94        51.36        20.69         0.14   155
       19.00        21.50        70.67        28.99         0.14    81
       19.50        22.05       102.64        19.08         0.15    99
       20.00        22.60       117.63        21.84         0.14   120
       20.52        23.17       138.46        13.22         0.14   176
       21.00        23.70       146.94        11.71         0.15   183
       21.50        24.25       143.57        13.18         0.14   187
       22.00        24.79       128.43        10.87         0.15   176
       22.50        25.34       100.79        12.10         0.14   172
       22.99        25.88        76.21        14.36         0.15   170
       23.51        26.45        51.93        11.85         0.15   174
       24.00        26.98        37.01         7.38         0.15   177
       24.49        27.51        28.19         7.12         0.14   168
       24.99        28.06        25.45         9.28         0.14   121
       25.51        28.62        14.14        13.12         0.15   108
       26.00        29.15         4.21        14.41         0.14   138
       26.50        29.69        -6.73         7.22         0.14   136
       26.99        30.22       -13.95        12.26         0.15   138
       27.50        30.77       -24.04        11.49         0.15   110
       27.98        31.28       -25.01        11.98         0.14   130
       28.51        31.85       -18.55        10.05         0.14   109
       28.95        32.32       -10.37         7.37         0.14    88
       29.50        32.90         0.24         7.82         0.15    70
       29.98        33.41        14.63         7.40         0.13    60
